animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,normal
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,normal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,normal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,normal
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,normal
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,anomaly
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,anomaly
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,normal
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,anomaly
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,normal
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,normal
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,normal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,normal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,anomaly
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,anomaly
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,normal
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,normal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,normal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,normal
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,normal
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,normal
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,normal
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,normal
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,normal
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,anomaly
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,normal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,normal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,normal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,normal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,normal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,normal
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,normal
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,normal
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,normal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,normal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,anomaly
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,normal
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,normal
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,normal
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,anomaly
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,normal
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,normal
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,normal
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,normal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,normal
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,normal
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,normal
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,anomaly
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,anomaly
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,anomaly
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,anomaly
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,normal
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,normal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,normal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,normal
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,normal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,anomaly
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,normal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,normal
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,normal
