B,G,R,class
177,174,129,normal
125,165,217,anomaly
29,28,2,normal
18,15,1,normal
171,171,123,normal
89,7,0,normal
62,118,183,anomaly
39,253,247,normal
135,136,92,normal
97,138,193,anomaly
177,174,130,normal
179,177,129,normal
74,49,207,normal
95,92,41,normal
179,178,134,normal
115,114,56,normal
169,171,129,normal
21,15,2,normal
200,209,252,anomaly
99,138,206,anomaly
55,56,22,normal
180,179,135,normal
65,62,48,normal
193,191,151,normal
139,141,89,normal
139,141,89,normal
120,151,220,anomaly
51,105,166,anomaly
184,181,137,normal
94,91,40,normal
110,109,51,normal
80,83,34,normal
34,37,35,normal
76,88,128,anomaly
182,179,135,normal
192,175,166,normal
2,186,0,normal
180,177,132,normal
167,166,122,normal
145,147,105,normal
53,57,22,normal
136,171,227,anomaly
105,147,218,anomaly
179,176,131,normal
48,2,0,normal
179,176,131,normal
68,70,24,normal
57,55,45,normal
177,176,132,normal
108,131,193,anomaly
33,154,86,normal
63,63,23,normal
47,104,149,anomaly
172,175,136,normal
152,151,100,normal
108,137,182,anomaly
196,195,161,normal
100,103,81,normal
73,82,125,anomaly
161,160,109,normal
83,85,33,normal
52,98,145,anomaly
54,55,21,normal
156,191,241,anomaly
180,177,132,normal
194,193,155,normal
3,1,0,normal
181,180,136,normal
177,170,120,normal
55,56,17,normal
137,171,217,anomaly
188,187,143,normal
200,199,161,normal
185,186,142,normal
32,221,254,normal
190,190,150,normal
114,110,75,normal
177,131,43,normal
37,37,7,normal
200,198,163,normal
125,123,175,normal
184,182,134,normal
199,197,163,normal
172,171,121,normal
137,167,232,anomaly
110,146,206,anomaly
136,139,90,normal
192,192,152,normal
64,64,18,normal
131,134,95,normal
135,138,93,normal
106,155,223,anomaly
180,182,182,normal
113,114,58,normal
121,151,200,anomaly
183,180,136,normal
142,141,85,normal
106,106,52,normal
107,144,212,anomaly
196,196,156,normal
170,169,119,normal
49,101,154,anomaly
223,244,189,normal
189,186,171,normal
26,52,28,normal
195,193,152,normal
176,174,126,normal
187,186,142,normal
33,35,6,normal
200,198,158,normal
98,101,51,normal
53,52,14,normal
150,191,254,anomaly
165,167,145,normal
60,120,186,anomaly
51,57,16,normal
164,170,135,normal
76,76,28,normal
175,172,127,normal
110,231,250,normal
103,102,46,normal
121,122,72,normal
137,140,91,normal
179,177,129,normal
149,152,103,normal
148,185,229,anomaly
24,51,25,normal
152,151,100,normal
196,194,163,normal
115,157,210,anomaly
164,163,113,normal
166,165,121,normal
187,186,142,normal
141,146,201,anomaly
57,59,23,normal
189,188,144,normal
159,159,119,normal
155,154,104,normal
154,190,254,anomaly
173,180,135,normal
113,112,54,normal
140,138,84,normal
160,163,124,normal
243,231,221,normal
162,165,120,normal
172,171,121,normal
181,178,134,normal
176,173,135,normal
178,175,130,normal
168,165,114,normal
170,169,119,normal
35,36,10,normal
140,139,88,normal
43,44,10,normal
197,195,160,normal
179,177,129,normal
148,149,99,normal
128,128,128,normal
165,163,115,normal
181,179,131,normal
102,135,191,anomaly
75,80,35,normal
154,187,232,anomaly
183,155,138,normal
110,75,89,normal
145,187,254,anomaly
100,148,220,anomaly
45,95,155,anomaly
201,200,162,normal
104,139,203,anomaly
248,212,206,normal
84,84,72,normal
161,165,124,normal
0,0,161,normal
194,191,146,normal
53,53,17,normal
172,171,121,normal
166,169,114,normal
179,176,131,normal
150,153,107,normal
56,105,161,anomaly
55,114,176,anomaly
160,161,111,normal
32,33,7,normal
162,133,118,normal
173,173,127,normal
200,197,159,normal
177,174,129,normal
180,180,132,normal
160,163,124,normal
169,185,228,anomaly
201,199,164,normal
107,139,198,anomaly
179,177,129,normal
6,7,0,normal
248,250,250,normal
55,52,8,normal
130,154,214,anomaly
98,145,219,anomaly
139,140,90,normal
2,5,3,normal
164,162,114,normal
97,146,220,anomaly
89,103,155,anomaly
190,188,148,normal
162,159,114,normal
131,161,216,anomaly
45,106,150,anomaly
204,202,168,normal
198,196,161,normal
196,197,158,normal
59,32,22,normal
121,153,219,anomaly
34,33,7,normal
201,200,162,normal
1,3,4,normal
199,197,163,normal
183,180,135,normal
177,174,129,normal
184,153,132,normal
183,180,135,normal
141,184,251,anomaly
175,172,127,normal
164,160,112,normal
20,16,5,normal
83,111,135,anomaly
195,209,255,anomaly
138,138,92,normal
42,43,41,normal
67,123,182,anomaly
136,161,225,anomaly
4,183,0,normal
4,5,1,normal
94,92,38,normal
126,93,14,normal
179,176,132,normal
139,162,230,anomaly
64,66,24,normal
210,212,222,normal
179,176,132,normal
0,1,0,normal
245,250,253,normal
103,102,46,normal
176,175,125,normal
175,173,125,normal
189,190,148,normal
201,200,162,normal
166,162,114,normal
194,101,140,normal
160,164,129,normal
135,125,255,normal
112,153,215,anomaly
175,173,125,normal
140,144,103,normal
242,233,223,normal
176,174,126,normal
72,90,151,anomaly
157,162,123,normal
30,29,3,normal
156,177,238,anomaly
73,47,207,normal
198,195,164,normal
166,185,230,anomaly
14,193,254,normal
56,57,18,normal
255,0,255,normal
168,184,237,anomaly
147,150,101,normal
172,168,119,normal
127,127,127,normal
193,192,154,normal
172,170,122,normal
173,187,239,anomaly
112,111,53,normal
152,156,115,normal
59,59,59,normal
32,33,7,normal
62,66,25,normal
171,170,119,normal
131,134,95,normal
171,172,140,normal
179,177,129,normal
2,180,0,normal
248,250,250,normal
197,197,157,normal
56,61,22,normal
90,67,249,normal
19,16,2,normal
148,147,91,normal
76,178,231,normal
129,133,92,normal
48,100,160,anomaly
222,150,80,normal
162,160,112,normal
179,177,129,normal
135,169,215,anomaly
3,2,0,normal
72,73,23,normal
233,95,76,normal
156,157,113,normal
6,4,3,normal
37,70,36,normal
138,139,89,normal
80,117,191,anomaly
62,57,26,normal
98,144,222,anomaly
144,186,251,anomaly
172,171,121,normal
105,107,55,normal
95,94,60,normal
29,28,7,normal
23,20,5,normal
127,151,217,anomaly
169,180,237,anomaly
90,68,247,normal
54,58,23,normal
179,176,131,normal
29,43,37,normal
141,145,96,normal
129,130,86,normal
15,14,0,normal
80,84,65,normal
172,171,121,normal
112,115,66,normal
165,162,111,normal
178,178,138,normal
201,201,165,normal
129,129,129,normal
162,185,231,anomaly
195,196,157,normal
69,85,122,anomaly
198,198,158,normal
190,189,145,normal
75,67,27,normal
57,118,186,anomaly
46,107,169,anomaly
186,187,145,normal
196,195,157,normal
15,13,2,normal
149,152,106,normal
148,149,107,normal
167,166,115,normal
111,219,243,normal
172,187,236,anomaly
172,186,239,anomaly
108,113,62,normal
169,173,124,normal
202,201,163,normal
184,183,139,normal
167,163,114,normal
152,155,105,normal
148,188,247,anomaly
56,114,96,normal
102,103,63,normal
53,55,19,normal
151,150,99,normal
89,86,35,normal
165,164,113,normal
181,178,134,normal
54,54,18,normal
167,163,114,normal
180,177,133,normal
64,108,167,anomaly
57,59,23,normal
79,118,193,anomaly
68,173,224,normal
69,137,130,normal
186,183,139,normal
181,178,134,normal
162,160,112,normal
72,75,25,normal
52,116,181,anomaly
170,169,119,normal
74,106,171,anomaly
181,197,244,anomaly
36,37,11,normal
145,189,250,anomaly
183,181,133,normal
166,164,110,normal
164,163,113,normal
51,119,186,anomaly
135,141,94,normal
207,215,255,anomaly
19,16,0,normal
134,161,225,anomaly
150,172,23,normal
63,91,151,anomaly
145,143,89,normal
199,198,160,normal
44,45,11,normal
2,0,0,normal
74,75,43,normal
183,179,138,normal
120,119,61,normal
131,185,218,normal
5,5,0,normal
139,139,85,normal
51,68,131,anomaly
55,57,21,normal
4,2,1,normal
20,17,2,normal
185,184,140,normal
62,63,24,normal
146,148,96,normal
179,177,129,normal
177,176,132,normal
157,159,117,normal
6,4,3,normal
50,92,137,anomaly
246,234,230,normal
176,174,126,normal
55,108,171,anomaly
138,139,89,normal
29,29,17,normal
15,14,0,normal
49,168,90,normal
157,161,125,normal
119,156,106,normal
80,81,31,normal
73,75,56,normal
48,47,9,normal
36,90,143,anomaly
165,164,114,normal
79,86,129,anomaly
127,162,226,anomaly
42,44,8,normal
96,139,220,anomaly
187,186,142,normal
177,170,127,normal
255,0,255,normal
86,110,156,anomaly
53,55,19,normal
14,5,185,normal
46,42,31,normal
182,176,131,normal
19,20,10,normal
85,84,63,normal
91,90,39,normal
53,53,17,normal
70,70,30,normal
172,171,121,normal
249,253,254,normal
153,154,110,normal
181,180,142,normal
178,175,130,normal
182,183,141,normal
161,165,130,normal
179,180,138,normal
150,95,218,normal
167,181,230,anomaly
172,188,235,anomaly
176,173,128,normal
120,154,220,anomaly
41,223,253,normal
170,183,235,anomaly
177,175,127,normal
198,196,162,normal
157,171,223,anomaly
151,154,105,normal
59,60,20,normal
144,169,225,anomaly
132,172,221,anomaly
163,162,112,normal
32,33,7,normal
116,97,70,normal
80,48,255,normal
24,22,4,normal
164,165,115,normal
96,131,197,anomaly
68,128,188,anomaly
182,186,180,normal
99,139,204,anomaly
179,180,138,normal
38,37,23,normal
189,202,210,normal
155,154,98,normal
53,57,22,normal
170,187,238,anomaly
161,161,115,normal
78,81,32,normal
201,199,164,normal
53,54,20,normal
0,2,0,normal
141,79,103,normal
169,184,233,anomaly
97,143,220,anomaly
61,62,20,normal
137,136,78,normal
173,181,134,normal
54,55,21,normal
164,162,114,normal
54,108,163,anomaly
152,153,103,normal
13,12,8,normal
70,72,26,normal
118,166,30,normal
28,36,26,normal
1,1,1,normal
164,162,114,normal
183,179,138,normal
1,180,1,normal
9,13,8,normal
96,145,219,anomaly
53,54,20,normal
50,107,152,anomaly
136,137,98,normal
132,135,85,normal
53,52,8,normal
156,160,125,normal
110,90,95,normal
22,70,42,normal
236,193,160,normal
148,185,253,anomaly
139,141,89,normal
135,138,93,normal
53,72,133,anomaly
186,185,164,normal
157,98,220,normal
53,57,22,normal
97,130,193,anomaly
12,11,7,normal
172,168,119,normal
93,96,41,normal
183,183,143,normal
201,200,162,normal
192,192,156,normal
111,149,213,anomaly
138,139,89,normal
180,174,131,normal
163,167,126,normal
143,142,86,normal
54,55,21,normal
20,17,2,normal
119,118,84,normal
172,173,129,normal
138,139,89,normal
60,121,183,anomaly
104,146,211,anomaly
107,108,58,normal
163,161,113,normal
94,141,223,anomaly
104,104,56,normal
93,93,39,normal
110,157,219,anomaly
15,123,11,normal
168,169,119,normal
162,120,43,normal
11,8,4,normal
182,179,135,normal
160,197,255,anomaly
170,169,119,normal
2,3,0,normal
179,179,131,normal
187,185,137,normal
43,163,82,normal
164,164,118,normal
167,185,244,anomaly
231,215,209,normal
69,69,23,normal
98,102,153,anomaly
158,162,127,normal
157,194,255,anomaly
255,243,200,normal
173,173,127,normal
178,175,130,normal
194,194,154,normal
86,85,89,normal
155,192,254,anomaly
34,34,22,normal
180,196,239,anomaly
22,20,2,normal
11,9,1,normal
117,117,57,normal
140,142,96,normal
136,139,90,normal
196,196,160,normal
176,173,129,normal
35,37,8,normal
5,29,19,normal
5,8,0,normal
199,199,159,normal
201,198,167,normal
172,173,133,normal
183,179,138,normal
199,197,162,normal
62,62,22,normal
62,67,22,normal
248,252,253,normal
93,139,217,anomaly
199,198,160,normal
44,60,42,normal
53,53,53,normal
201,211,251,anomaly
0,0,255,normal
58,61,22,normal
92,138,222,anomaly
175,176,132,normal
90,68,247,normal
50,52,16,normal
165,163,115,normal
99,128,189,anomaly
91,143,219,anomaly
186,185,141,normal
50,46,22,normal
12,9,5,normal
10,11,0,normal
170,166,118,normal
195,193,158,normal
51,52,18,normal
10,8,8,normal
187,185,137,normal
141,140,84,normal
38,161,81,normal
185,183,143,normal
174,172,124,normal
255,250,177,normal
162,161,111,normal
42,163,89,normal
8,68,50,normal
118,154,224,anomaly
178,175,131,normal
110,90,72,normal
138,21,136,normal
152,172,23,normal
126,129,184,anomaly
19,179,209,normal
105,154,224,anomaly
112,153,215,anomaly
178,178,132,normal
128,131,86,normal
184,183,139,normal
255,255,255,normal
34,106,93,normal
39,94,151,anomaly
0,127,255,normal
136,176,229,anomaly
139,133,96,normal
54,55,16,normal
41,114,82,normal
199,197,162,normal
180,180,134,normal
178,176,128,normal
168,171,121,normal
123,123,69,normal
168,139,118,normal
46,44,13,normal
184,182,134,normal
86,85,27,normal
180,179,135,normal
53,94,143,anomaly
182,179,135,normal
150,169,22,normal
45,44,30,normal
6,5,1,normal
201,200,162,normal
120,119,61,normal
182,179,135,normal
69,71,49,normal
72,58,213,normal
181,180,136,normal
54,55,21,normal
59,57,27,normal
173,173,125,normal
149,167,226,anomaly
55,56,22,normal
5,21,14,normal
187,186,142,normal
4,0,162,normal
141,144,95,normal
53,57,22,normal
159,162,123,normal
7,4,0,normal
61,56,217,normal
0,193,0,normal
201,200,162,normal
137,136,78,normal
200,198,163,normal
200,207,255,anomaly
238,227,229,normal
157,159,113,normal
174,171,126,normal
140,139,89,normal
165,164,114,normal
67,70,25,normal
0,0,255,normal
105,131,191,anomaly
19,16,2,normal
132,171,223,anomaly
102,154,224,anomaly
57,115,174,anomaly
154,155,111,normal
64,68,27,normal
57,114,176,anomaly
97,134,190,anomaly
163,166,117,normal
3,184,0,normal
51,111,181,anomaly
166,168,122,normal
173,172,122,normal
172,168,120,normal
166,163,112,normal
149,187,251,anomaly
14,26,8,normal
101,151,227,anomaly
77,87,127,anomaly
177,176,142,normal
183,184,140,normal
202,197,148,normal
241,169,159,normal
45,95,148,anomaly
10,250,251,normal
137,140,91,normal
119,159,218,anomaly
205,204,170,normal
57,59,13,normal
8,10,4,normal
54,54,18,normal
108,229,249,normal
169,172,133,normal
132,167,223,anomaly
155,159,124,normal
76,76,28,normal
2,171,252,normal
0,255,255,normal
110,109,81,normal
200,198,164,normal
53,57,21,normal
62,67,22,normal
130,135,90,normal
202,200,165,normal
182,181,137,normal
60,119,181,anomaly
79,82,33,normal
129,162,231,anomaly
181,178,134,normal
54,55,16,normal
255,255,255,normal
55,56,22,normal
164,162,114,normal
183,180,136,normal
167,167,119,normal
55,56,24,normal
60,126,197,anomaly
172,184,118,normal
178,175,131,normal
155,174,217,anomaly
51,51,51,normal
140,176,222,anomaly
178,178,132,normal
180,180,132,normal
185,183,143,normal
93,88,149,normal
128,162,215,anomaly
96,145,219,anomaly
128,128,128,normal
113,139,186,anomaly
182,179,135,normal
173,170,125,normal
133,177,231,anomaly
128,128,128,normal
198,198,158,normal
148,150,98,normal
2,4,0,normal
58,59,19,normal
208,195,181,normal
187,188,172,normal
53,56,24,normal
80,80,32,normal
153,154,104,normal
131,131,131,normal
174,188,240,anomaly
144,165,19,normal
14,7,188,normal
0,0,0,normal
121,150,224,anomaly
179,166,120,normal
233,243,250,normal
122,134,188,anomaly
69,71,25,normal
152,188,228,anomaly
204,203,169,normal
172,169,124,normal
172,171,121,normal
185,182,137,normal
149,148,92,normal
180,178,130,normal
133,231,243,normal
129,164,227,anomaly
203,213,253,anomaly
144,164,229,anomaly
133,132,188,anomaly
157,161,126,normal
90,124,194,anomaly
13,255,255,normal
55,91,45,normal
100,106,159,anomaly
82,114,187,anomaly
78,132,115,normal
199,194,161,normal
198,198,158,normal
101,144,211,anomaly
182,179,135,normal
13,9,0,normal
142,182,247,anomaly
146,172,232,anomaly
117,107,113,normal
17,17,5,normal
99,202,197,normal
160,159,109,normal
178,179,137,normal
199,197,162,normal
55,55,55,normal
169,165,116,normal
194,193,155,normal
201,200,162,normal
163,161,113,normal
196,195,157,normal
99,59,160,normal
140,134,89,normal
63,67,25,normal
150,152,100,normal
155,192,254,anomaly
201,200,162,normal
61,65,23,normal
250,254,255,normal
240,111,78,normal
174,172,124,normal
129,131,89,normal
201,200,162,normal
53,54,20,normal
53,102,152,anomaly
75,85,125,anomaly
12,12,0,normal
69,71,25,normal
142,145,96,normal
63,63,23,normal
96,139,220,anomaly
169,185,238,anomaly
167,163,115,normal
177,174,130,normal
188,186,146,normal
149,147,93,normal
233,243,250,normal
179,178,134,normal
125,146,173,anomaly
118,117,59,normal
95,94,60,normal
122,159,217,anomaly
6,6,6,normal
36,34,23,normal
13,12,8,normal
50,107,168,anomaly
66,68,22,normal
144,183,222,anomaly
159,66,157,normal
94,131,181,anomaly
49,51,15,normal
218,94,83,normal
48,103,154,anomaly
46,54,17,normal
128,255,0,normal
64,65,23,normal
113,115,169,anomaly
255,0,0,normal
102,107,162,anomaly
98,152,123,normal
168,165,114,normal
150,190,255,anomaly
99,138,206,anomaly
199,196,165,normal
67,76,119,anomaly
22,19,4,normal
182,180,132,normal
93,137,221,anomaly
55,56,24,normal
156,193,255,anomaly
18,18,6,normal
190,165,63,normal
75,77,31,normal
0,1,163,normal
136,138,92,normal
68,131,121,normal
65,53,205,normal
95,137,220,anomaly
141,140,89,normal
94,68,245,normal
187,185,137,normal
132,171,223,anomaly
76,79,34,normal
179,176,131,normal
16,16,0,normal
3,20,153,normal
63,63,23,normal
62,116,171,anomaly
43,108,255,normal
0,0,162,normal
153,155,103,normal
52,53,19,normal
15,14,0,normal
79,51,210,normal
54,58,23,normal
220,180,78,normal
204,202,168,normal
146,66,125,normal
16,14,3,normal
201,199,164,normal
91,91,45,normal
107,145,217,anomaly
53,54,20,normal
163,163,115,normal
157,160,115,normal
49,43,14,normal
165,164,113,normal
167,167,119,normal
131,141,151,normal
164,181,232,anomaly
36,0,144,normal
177,176,126,normal
181,179,131,normal
93,91,83,normal
90,30,14,normal
15,12,7,normal
136,136,136,normal
34,34,10,normal
200,209,253,anomaly
249,131,119,normal
179,176,132,normal
130,161,230,anomaly
201,200,162,normal
157,161,125,normal
168,184,231,anomaly
178,175,131,normal
97,156,226,anomaly
172,170,122,normal
100,134,193,anomaly
136,162,228,anomaly
179,177,129,normal
1,0,4,normal
161,165,129,normal
202,197,164,normal
176,172,137,normal
164,163,113,normal
41,42,10,normal
173,142,97,normal
162,162,114,normal
187,183,142,normal
62,42,201,normal
47,22,196,normal
161,162,112,normal
75,78,39,normal
37,36,10,normal
202,201,163,normal
165,161,112,normal
186,185,141,normal
198,198,174,normal
129,163,229,anomaly
116,155,217,anomaly
186,185,141,normal
140,141,91,normal
165,164,114,normal
163,159,110,normal
85,95,143,anomaly
170,170,122,normal
200,198,163,normal
63,68,23,normal
164,163,113,normal
0,147,184,normal
3,1,1,normal
110,213,208,normal
60,57,13,normal
199,198,164,normal
182,179,135,normal
197,198,159,normal
157,160,121,normal
33,32,6,normal
185,184,140,normal
101,76,240,normal
91,192,190,normal
136,139,90,normal
142,145,100,normal
176,144,101,normal
150,163,231,anomaly
0,0,1,normal
178,174,126,normal
153,158,119,normal
112,150,215,anomaly
196,196,160,normal
133,137,96,normal
184,183,139,normal
178,179,137,normal
177,172,127,normal
165,134,43,normal
215,203,191,normal
165,163,115,normal
196,196,160,normal
39,114,255,normal
0,0,255,normal
172,186,235,anomaly
179,177,129,normal
182,181,137,normal
168,169,119,normal
179,177,137,normal
182,181,137,normal
253,255,255,normal
199,197,163,normal
162,164,164,normal
163,162,112,normal
156,158,112,normal
59,60,20,normal
166,202,240,anomaly
52,79,213,normal
178,173,128,normal
183,182,138,normal
170,185,231,anomaly
21,22,2,normal
54,55,21,normal
165,165,117,normal
13,5,182,normal
26,17,7,normal
143,165,223,anomaly
155,161,126,normal
117,150,219,anomaly
255,254,255,normal
92,139,221,anomaly
6,4,3,normal
170,171,121,normal
199,197,162,normal
31,28,7,normal
34,51,38,normal
170,159,115,normal
27,31,19,normal
255,0,255,normal
179,178,134,normal
178,175,131,normal
136,139,90,normal
166,200,255,anomaly
97,95,41,normal
178,175,131,normal
80,32,14,normal
199,197,163,normal
186,187,161,normal
192,192,152,normal
180,177,133,normal
201,200,162,normal
182,179,135,normal
255,0,255,normal
182,179,135,normal
135,133,79,normal
64,57,18,normal
81,80,29,normal
158,174,227,anomaly
117,152,220,anomaly
201,200,162,normal
157,160,115,normal
96,144,216,anomaly
129,158,225,anomaly
179,176,131,normal
177,174,129,normal
145,185,250,anomaly
54,58,23,normal
5,4,6,normal
169,170,136,normal
253,252,254,normal
177,175,127,normal
158,159,109,normal
182,180,126,normal
102,20,8,normal
61,60,32,normal
89,131,220,anomaly
134,138,191,anomaly
6,7,3,normal
48,49,15,normal
133,136,97,normal
26,26,14,normal
75,77,31,normal
172,169,124,normal
180,179,135,normal
95,133,187,anomaly
8,7,3,normal
97,139,206,anomaly
199,197,163,normal
179,176,131,normal
52,53,44,normal
198,196,161,normal
166,164,116,normal
135,134,76,normal
54,55,16,normal
196,195,157,normal
32,33,7,normal
153,191,255,anomaly
53,57,22,normal
147,186,254,anomaly
36,37,33,normal
180,178,130,normal
74,122,98,normal
51,90,145,anomaly
13,12,2,normal
206,204,174,normal
57,104,160,anomaly
180,176,127,normal
140,143,94,normal
170,168,127,normal
46,48,12,normal
76,82,125,anomaly
176,175,125,normal
15,14,0,normal
93,90,146,normal
100,147,221,anomaly
173,94,151,normal
52,120,195,anomaly
164,77,163,normal
83,84,34,normal
165,180,229,anomaly
97,200,195,normal
44,93,139,anomaly
38,80,49,normal
140,164,230,anomaly
110,153,210,anomaly
193,196,201,normal
53,53,17,normal
73,73,27,normal
0,0,3,normal
201,200,162,normal
175,173,132,normal
139,179,227,anomaly
125,137,203,anomaly
170,166,117,normal
136,139,90,normal
45,46,12,normal
196,195,157,normal
95,141,218,anomaly
150,150,102,normal
0,0,194,normal
56,61,22,normal
35,32,17,normal
163,164,130,normal
202,160,207,normal
235,191,154,normal
181,179,138,normal
17,13,2,normal
198,198,158,normal
186,185,141,normal
100,203,198,normal
107,210,205,normal
137,167,232,anomaly
194,187,154,normal
13,13,7,normal
122,121,123,normal
70,73,24,normal
162,160,112,normal
172,169,124,normal
143,141,87,normal
111,109,61,normal
110,114,167,anomaly
78,81,32,normal
57,55,45,normal
110,109,53,normal
255,255,255,normal
177,177,131,normal
156,160,125,normal
194,209,211,normal
35,34,8,normal
124,124,64,normal
202,159,210,normal
174,170,122,normal
171,170,120,normal
118,156,210,anomaly
129,166,218,anomaly
179,176,132,normal
32,25,116,normal
166,167,123,normal
23,23,0,normal
60,105,156,anomaly
226,211,79,normal
140,139,88,normal
90,143,223,anomaly
200,198,164,normal
137,144,83,normal
120,123,178,anomaly
102,139,191,anomaly
124,162,226,anomaly
26,23,18,normal
84,90,131,anomaly
153,156,111,normal
53,54,20,normal
15,14,0,normal
184,183,139,normal
180,179,135,normal
194,196,197,normal
148,151,102,normal
62,122,181,anomaly
139,156,122,normal
176,182,135,normal
164,167,128,normal
44,74,45,normal
97,146,220,anomaly
178,177,133,normal
183,183,137,normal
180,179,135,normal
169,168,118,normal
172,170,122,normal
170,191,243,anomaly
142,141,85,normal
179,177,129,normal
0,0,0,normal
123,122,64,normal
111,95,102,normal
231,214,205,normal
109,226,253,normal
121,153,219,anomaly
147,188,250,anomaly
180,179,135,normal
175,173,125,normal
61,65,24,normal
164,160,112,normal
195,193,152,normal
138,137,86,normal
61,63,27,normal
152,193,255,anomaly
133,136,87,normal
177,174,129,normal
162,166,131,normal
123,77,89,normal
200,196,161,normal
51,97,144,anomaly
156,155,99,normal
131,168,220,anomaly
145,143,89,normal
124,127,182,anomaly
172,171,121,normal
96,80,68,normal
62,19,240,normal
54,55,21,normal
111,213,208,normal
115,117,71,normal
176,174,126,normal
30,27,6,normal
172,171,121,normal
184,183,139,normal
143,142,86,normal
59,42,240,normal
55,56,22,normal
129,130,90,normal
168,164,116,normal
51,118,187,anomaly
1,1,1,normal
6,4,0,normal
172,186,234,anomaly
125,126,70,normal
159,162,123,normal
176,175,125,normal
17,16,2,normal
45,94,138,anomaly
167,166,115,normal
196,195,157,normal
129,133,92,normal
186,184,143,normal
120,117,126,normal
59,24,235,normal
62,119,175,anomaly
29,26,5,normal
118,142,170,anomaly
172,171,121,normal
132,135,86,normal
151,149,95,normal
173,189,235,anomaly
10,11,15,normal
17,17,11,normal
2,5,3,normal
175,175,127,normal
53,126,200,anomaly
0,0,3,normal
132,133,99,normal
164,163,113,normal
166,161,136,normal
154,157,125,normal
168,164,116,normal
148,186,251,anomaly
222,217,216,normal
53,53,17,normal
195,193,152,normal
199,195,160,normal
190,152,44,normal
174,170,122,normal
172,171,121,normal
29,84,69,normal
78,113,187,anomaly
4,0,5,normal
150,76,70,normal
169,172,116,normal
132,164,229,anomaly
176,174,126,normal
140,139,83,normal
91,92,42,normal
207,205,175,normal
97,101,152,anomaly
104,154,220,anomaly
176,170,133,normal
175,173,132,normal
163,161,113,normal
167,163,114,normal
201,200,162,normal
137,171,225,anomaly
49,50,41,normal
51,44,235,normal
30,37,22,normal
6,250,255,normal
141,181,246,anomaly
173,172,122,normal
23,22,1,normal
157,156,100,normal
145,136,98,normal
166,180,232,anomaly
153,193,252,anomaly
172,172,126,normal
28,30,8,normal
110,234,252,normal
82,90,130,anomaly
128,170,217,anomaly
19,16,2,normal
118,148,205,anomaly
173,171,123,normal
182,181,137,normal
28,55,29,normal
139,138,87,normal
61,63,21,normal
199,197,163,normal
172,171,127,normal
36,60,42,normal
130,133,94,normal
118,153,219,anomaly
61,33,217,normal
197,195,160,normal
149,147,93,normal
80,86,129,anomaly
51,76,210,normal
152,155,110,normal
1,2,0,normal
244,236,236,normal
200,199,165,normal
199,197,162,normal
43,43,13,normal
138,145,108,normal
182,179,135,normal
198,195,167,normal
63,64,32,normal
84,116,191,anomaly
47,48,14,normal
67,69,27,normal
173,172,122,normal
99,138,193,anomaly
199,196,165,normal
202,212,252,anomaly
180,178,137,normal
116,115,57,normal
141,144,95,normal
169,167,136,normal
54,58,22,normal
146,171,235,anomaly
171,175,123,normal
21,17,0,normal
167,167,121,normal
