wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,living_index,media_exposure,class
48,2,4,2,1,1,1,3,0,anomaly
40,4,4,2,0,1,1,4,0,anomaly
28,2,2,1,1,1,3,2,0,anomaly
25,1,4,1,1,1,2,1,0,anomaly
32,4,4,2,1,1,2,3,0,anomaly
45,4,4,0,1,1,2,4,0,anomaly
26,4,4,1,1,1,1,4,0,anomaly
26,4,4,0,1,0,1,4,0,anomaly
31,4,4,0,1,0,1,4,0,anomaly
49,4,4,7,0,1,2,4,0,anomaly
40,3,4,8,1,1,3,3,0,anomaly
34,4,4,1,0,0,2,3,0,anomaly
36,2,4,5,1,1,2,3,0,anomaly
20,2,2,2,1,1,2,2,1,anomaly
43,4,4,5,1,0,1,4,0,anomaly
37,3,4,7,1,1,2,1,0,anomaly
21,2,3,0,1,1,3,4,0,anomaly
49,4,4,6,1,1,1,2,0,anomaly
42,3,3,10,1,1,3,3,0,anomaly
20,2,3,1,1,1,2,3,0,anomaly
47,1,2,2,1,0,1,3,0,anomaly
22,2,3,1,1,1,2,1,0,anomaly
27,2,4,1,1,0,1,3,0,anomaly
24,2,4,1,1,1,3,1,0,anomaly
44,4,2,8,1,1,3,3,0,anomaly
30,2,3,3,1,1,3,1,0,anomaly
23,3,4,2,1,1,3,4,0,anomaly
25,4,4,1,1,0,3,3,0,anomaly
47,2,3,4,1,1,2,3,0,anomaly
48,2,3,8,1,1,1,4,0,anomaly
29,2,3,1,1,1,1,1,0,anomaly
29,2,3,1,1,1,1,2,0,anomaly
21,3,4,0,1,1,2,3,0,anomaly
21,3,4,1,1,1,2,3,0,anomaly
29,4,4,0,1,0,2,4,0,anomaly
45,3,4,3,1,1,1,4,0,anomaly
33,2,3,2,1,1,3,2,0,anomaly
38,4,4,1,1,0,1,4,0,anomaly
24,4,4,0,0,1,1,4,0,anomaly
49,4,4,6,0,0,1,4,0,anomaly
24,2,4,1,1,0,4,4,0,anomaly
28,4,4,0,0,0,1,4,0,anomaly
30,4,4,2,1,1,1,4,0,anomaly
33,4,4,2,1,1,1,4,0,anomaly
25,4,4,1,1,1,1,3,0,anomaly
35,4,4,3,0,1,1,4,0,anomaly
27,2,4,4,1,1,1,4,0,anomaly
24,2,2,3,1,0,2,1,0,anomaly
25,2,3,0,1,1,2,1,0,anomaly
46,2,4,6,1,1,1,4,0,anomaly
26,2,2,3,1,1,2,1,0,anomaly
38,2,2,1,1,0,3,2,0,anomaly
47,1,2,3,1,1,1,3,0,anomaly
41,1,3,10,1,1,2,3,1,anomaly
41,2,3,1,1,0,2,3,0,anomaly
28,4,4,5,1,1,2,1,0,anomaly
17,2,2,3,1,1,3,1,0,anomaly
27,2,3,5,1,1,2,1,0,anomaly
27,1,2,4,1,1,3,1,1,anomaly
19,2,3,0,1,0,2,2,0,anomaly
27,2,4,3,1,0,3,2,0,anomaly
26,4,3,4,1,1,2,3,0,anomaly
23,2,4,2,1,1,3,3,0,anomaly
40,3,3,3,1,1,3,2,0,anomaly
22,4,4,0,1,1,1,1,0,anomaly
44,3,4,4,1,0,1,3,0,anomaly
29,2,3,2,1,1,3,1,0,anomaly
26,2,3,3,1,1,3,1,0,anomaly
45,4,4,1,1,0,3,3,0,anomaly
32,3,3,7,1,0,2,3,0,anomaly
21,4,4,1,1,1,1,4,0,anomaly
31,2,2,4,1,1,3,3,0,anomaly
21,3,4,0,1,1,1,3,0,anomaly
37,4,4,1,1,1,1,4,0,anomaly
34,4,4,3,0,0,3,3,0,anomaly
44,3,4,1,1,1,1,3,0,anomaly
49,4,3,5,1,1,2,3,0,anomaly
26,2,3,2,1,1,3,3,0,anomaly
38,1,2,1,1,1,2,4,1,anomaly
36,2,3,5,1,1,2,3,0,anomaly
26,3,4,2,1,1,3,3,0,anomaly
20,2,3,1,0,1,3,2,0,anomaly
44,2,1,3,1,0,3,2,0,anomaly
31,3,4,2,1,1,1,2,1,anomaly
45,4,4,1,1,1,1,3,0,anomaly
36,2,3,2,1,1,3,2,1,anomaly
43,1,3,2,1,0,2,2,1,anomaly
25,3,4,0,1,1,1,3,0,anomaly
48,3,4,3,1,1,3,1,0,anomaly
30,4,4,0,0,0,1,3,0,anomaly
48,1,2,8,1,1,3,1,0,anomaly
28,3,4,1,1,1,3,1,1,anomaly
26,4,4,1,1,1,1,3,0,anomaly
26,3,3,3,1,0,2,4,0,anomaly
24,4,4,2,1,1,3,3,0,anomaly
21,3,3,2,1,1,2,2,0,anomaly
30,4,4,2,0,1,3,1,0,anomaly
20,4,4,1,1,1,1,4,0,anomaly
33,4,4,2,1,1,1,3,0,anomaly
30,4,4,0,0,0,3,3,0,anomaly
47,4,4,1,1,0,1,3,0,anomaly
35,4,4,2,0,1,3,3,0,anomaly
30,2,4,2,1,1,3,4,0,anomaly
33,4,4,3,1,1,1,4,0,anomaly
45,4,4,4,1,1,2,3,0,anomaly
41,4,4,2,1,1,1,4,0,anomaly
32,4,4,1,1,0,1,3,0,anomaly
43,4,4,5,1,1,1,4,0,anomaly
44,4,4,3,1,1,2,4,0,anomaly
21,1,3,4,1,1,3,2,0,anomaly
44,3,4,2,1,1,1,4,1,anomaly
23,4,4,2,1,1,2,4,0,anomaly
47,1,2,4,1,1,2,2,0,anomaly
47,1,1,7,1,1,2,3,1,anomaly
35,4,4,2,1,0,2,4,0,anomaly
32,2,4,4,1,1,3,2,0,anomaly
45,1,4,5,1,1,1,2,1,anomaly
22,2,2,2,1,1,3,1,0,anomaly
23,1,1,3,1,1,2,1,1,anomaly
30,4,4,0,1,0,1,4,0,anomaly
44,1,3,0,1,1,2,3,0,anomaly
40,3,3,1,1,0,3,3,0,anomaly
34,4,4,4,1,1,2,3,0,anomaly
37,3,4,1,1,1,2,4,0,anomaly
49,3,4,5,1,1,1,4,0,anomaly
26,4,4,1,1,1,1,4,0,anomaly
22,4,4,0,1,1,2,4,0,anomaly
20,3,4,0,1,0,2,4,0,anomaly
47,4,4,4,1,1,1,4,0,anomaly
49,2,2,8,1,0,3,1,0,anomaly
22,2,4,1,1,1,2,4,0,anomaly
22,3,3,2,1,1,3,4,0,anomaly
25,3,2,2,1,1,3,2,0,anomaly
32,2,4,0,1,0,3,4,0,anomaly
28,4,4,0,0,1,1,3,0,anomaly
30,2,4,4,1,0,1,4,0,anomaly
45,2,4,2,1,0,2,4,0,anomaly
49,2,1,10,1,0,2,4,0,anomaly
34,4,4,2,1,0,1,4,0,anomaly
25,2,4,1,1,1,2,2,0,anomaly
42,1,3,12,1,1,3,3,0,anomaly
48,2,1,3,1,0,4,3,0,anomaly
35,3,4,5,1,0,2,2,0,anomaly
33,2,3,1,1,1,3,4,0,anomaly
20,2,4,0,1,1,3,2,0,anomaly
36,2,3,4,1,1,3,1,1,anomaly
19,3,3,2,1,1,3,2,0,anomaly
27,3,2,3,1,1,3,2,0,anomaly
30,1,2,4,1,1,4,1,0,anomaly
31,3,4,3,1,0,3,2,0,anomaly
44,1,1,11,1,1,4,1,1,anomaly
24,3,3,2,1,1,3,3,0,anomaly
18,3,4,0,1,0,3,1,0,anomaly
45,1,2,6,1,1,3,3,1,anomaly
25,2,2,3,1,0,3,1,0,anomaly
36,3,4,6,1,1,2,4,0,anomaly
30,1,1,5,1,1,2,2,0,anomaly
32,2,4,2,1,1,3,3,0,anomaly
42,1,4,11,0,1,2,2,1,anomaly
22,2,4,0,1,1,3,3,0,anomaly
36,2,4,2,1,0,2,4,0,anomaly
27,2,3,2,1,1,3,3,0,anomaly
40,3,4,1,1,1,1,2,0,anomaly
22,2,3,2,1,1,3,1,0,anomaly
26,2,4,0,1,1,3,1,0,anomaly
31,3,4,0,1,0,2,3,0,anomaly
32,4,4,1,1,1,1,4,0,anomaly
34,2,3,3,1,0,3,2,0,anomaly
40,3,3,1,0,1,3,4,0,anomaly
45,1,2,1,1,0,3,3,0,anomaly
26,3,4,3,1,1,3,2,0,anomaly
48,1,3,5,1,1,3,2,0,anomaly
43,1,3,8,1,1,3,1,0,anomaly
27,3,4,2,1,0,2,2,0,anomaly
42,3,2,1,1,1,3,3,0,anomaly
34,3,2,8,1,0,2,3,1,anomaly
32,3,2,4,1,1,2,2,1,anomaly
31,3,3,2,1,0,2,3,0,anomaly
22,2,3,1,1,1,3,3,0,anomaly
27,3,4,0,1,1,3,3,0,anomaly
37,1,2,2,1,1,2,2,1,anomaly
22,1,2,0,1,1,2,4,0,anomaly
47,4,4,4,1,1,1,4,0,anomaly
32,4,4,4,1,0,1,3,0,anomaly
37,3,3,2,1,1,1,4,0,anomaly
45,1,3,1,1,1,2,3,1,anomaly
47,1,4,8,1,1,3,3,0,anomaly
28,3,4,0,1,1,3,2,0,anomaly
48,1,3,4,1,1,3,4,1,anomaly
26,2,4,1,1,1,1,3,0,anomaly
21,3,4,0,1,0,3,1,0,anomaly
20,2,3,1,1,1,2,4,0,anomaly
39,1,1,5,1,0,3,1,1,anomaly
27,2,3,1,1,0,3,4,0,anomaly
37,2,3,5,1,0,3,2,0,anomaly
24,4,4,1,1,1,3,3,0,anomaly
39,3,3,6,1,1,3,3,0,anomaly
20,3,3,1,1,1,2,3,0,anomaly
19,3,4,1,1,1,2,3,0,anomaly
40,3,3,4,1,1,2,2,0,anomaly
41,1,4,4,1,1,3,3,0,anomaly
22,4,4,2,1,1,1,3,0,anomaly
32,3,4,4,1,1,1,4,0,anomaly
34,4,4,2,0,1,1,4,0,anomaly
34,4,4,2,1,0,1,3,0,anomaly
23,4,4,2,1,1,1,4,0,anomaly
27,4,4,1,1,1,1,2,0,anomaly
46,3,2,11,1,0,2,2,1,anomaly
34,4,4,3,0,1,1,2,0,anomaly
33,4,4,5,1,1,3,3,0,anomaly
25,3,3,1,1,1,3,2,0,anomaly
26,4,4,1,1,0,1,4,0,anomaly
48,1,3,4,1,1,3,3,1,anomaly
36,4,4,2,1,1,3,3,0,anomaly
38,3,4,2,0,1,2,4,0,anomaly
44,1,2,7,1,1,3,4,0,anomaly
44,2,2,1,1,0,3,2,0,anomaly
39,3,3,1,0,1,3,4,0,anomaly
47,1,2,7,1,0,3,2,0,anomaly
43,1,3,5,1,0,3,2,0,anomaly
29,3,3,3,1,0,2,4,0,anomaly
22,3,3,0,1,1,2,2,0,anomaly
31,2,4,5,1,1,3,2,0,anomaly
22,4,4,0,1,1,1,3,0,anomaly
45,3,4,6,1,1,2,4,0,anomaly
42,3,4,10,1,0,3,2,0,anomaly
38,3,3,7,1,1,3,1,0,anomaly
47,1,1,6,1,0,3,1,0,anomaly
30,4,4,2,1,1,1,4,0,anomaly
28,3,4,1,1,1,3,4,0,anomaly
25,3,4,1,1,1,2,1,0,anomaly
49,2,4,6,0,1,2,3,0,anomaly
23,3,4,2,1,0,2,3,0,anomaly
35,3,4,1,0,1,2,3,0,anomaly
47,2,1,5,0,1,2,4,0,anomaly
35,2,3,0,1,1,2,4,0,anomaly
44,3,4,6,1,1,3,4,0,anomaly
48,4,4,3,1,1,2,4,0,anomaly
43,2,3,6,1,0,3,3,0,anomaly
21,2,4,2,1,1,3,1,0,anomaly
22,4,4,0,1,1,1,4,0,anomaly
41,3,3,5,1,1,3,4,0,anomaly
29,2,4,2,1,0,4,4,1,anomaly
44,4,4,5,0,1,2,4,0,anomaly
22,4,4,0,1,0,1,4,0,anomaly
23,2,4,4,1,1,3,3,0,anomaly
22,2,1,0,1,1,3,2,0,anomaly
35,1,3,0,1,1,2,2,1,anomaly
24,4,4,1,1,1,2,2,0,anomaly
36,4,4,4,1,1,1,4,0,anomaly
47,1,2,2,1,1,2,4,0,anomaly
40,4,4,3,1,1,3,4,0,anomaly
29,4,4,1,1,1,1,3,0,anomaly
49,3,4,6,1,1,1,4,0,anomaly
49,3,4,9,1,1,1,4,0,anomaly
47,4,4,2,1,1,1,4,0,anomaly
28,4,4,3,0,1,1,4,0,anomaly
26,4,4,1,1,1,1,4,0,anomaly
29,1,2,7,1,1,2,4,0,anomaly
29,4,2,0,1,0,2,2,0,anomaly
25,3,3,1,1,1,3,4,0,anomaly
24,2,4,2,1,1,3,4,0,anomaly
23,4,4,1,1,0,2,4,0,anomaly
23,4,4,2,1,0,3,3,0,anomaly
44,1,2,2,1,1,2,4,0,anomaly
39,3,4,6,1,1,1,4,0,anomaly
21,3,3,0,1,1,2,2,0,anomaly
22,3,4,2,1,1,2,3,0,anomaly
47,3,4,3,1,1,2,3,0,anomaly
36,3,3,2,1,0,2,4,0,anomaly
25,1,4,2,1,0,3,3,1,anomaly
40,4,4,2,1,1,3,4,0,anomaly
36,2,2,0,0,0,3,3,0,anomaly
37,2,3,5,0,0,2,4,0,anomaly
28,1,4,2,1,0,2,3,0,anomaly
30,3,3,5,1,0,3,4,0,anomaly
16,3,4,1,1,1,3,3,0,anomaly
32,2,3,4,0,1,2,4,0,anomaly
40,4,4,3,0,1,3,4,0,anomaly
40,1,1,2,1,0,3,4,0,anomaly
45,3,4,2,0,1,1,4,0,anomaly
21,1,3,0,1,0,3,4,1,anomaly
28,4,4,1,0,1,1,3,0,anomaly
25,4,4,1,0,1,2,3,0,anomaly
44,1,3,4,1,1,3,3,1,anomaly
35,4,4,2,0,1,3,4,0,anomaly
49,4,4,4,1,1,3,4,0,anomaly
39,3,4,1,0,1,3,4,0,anomaly
32,3,4,1,0,1,2,4,0,anomaly
35,1,2,0,1,0,4,4,0,anomaly
21,1,2,1,1,0,3,4,0,anomaly
47,4,4,1,0,1,1,4,0,anomaly
27,4,4,1,0,1,3,4,0,anomaly
31,2,2,8,1,1,2,2,1,anomaly
34,4,3,0,0,0,3,3,0,anomaly
30,4,4,3,1,0,2,4,0,anomaly
25,4,4,0,1,0,2,4,0,anomaly
28,3,4,3,1,1,2,1,0,anomaly
30,2,3,4,1,0,3,2,0,anomaly
42,3,3,8,1,1,4,3,0,anomaly
23,4,4,0,0,1,2,4,0,anomaly
45,3,4,3,0,1,3,4,0,anomaly
21,4,4,1,1,1,3,3,0,anomaly
28,4,4,1,0,1,2,4,0,anomaly
33,4,4,1,0,0,3,4,0,anomaly
32,1,2,4,1,1,3,2,1,anomaly
25,2,2,3,1,1,3,3,0,anomaly
25,3,3,1,1,1,3,1,0,anomaly
19,2,2,2,1,1,3,1,0,anomaly
40,1,2,6,1,1,3,1,1,anomaly
24,2,2,2,1,1,3,1,1,anomaly
32,2,2,1,1,1,2,1,0,anomaly
35,2,3,8,1,1,3,2,0,anomaly
27,2,2,1,1,0,3,2,1,anomaly
23,2,4,2,1,1,1,4,0,anomaly
22,2,4,4,1,1,3,4,0,anomaly
49,2,3,0,1,1,1,2,0,anomaly
25,2,3,0,1,1,2,4,0,anomaly
18,3,4,1,1,1,3,1,0,anomaly
43,3,3,4,1,1,2,4,0,anomaly
37,1,3,0,1,1,3,4,0,anomaly
30,2,3,2,1,0,2,4,0,anomaly
29,3,2,0,1,1,2,2,0,anomaly
20,2,3,3,1,1,3,4,0,anomaly
42,3,3,3,1,0,2,4,0,anomaly
23,4,4,1,1,1,2,3,0,anomaly
34,2,3,7,1,0,3,3,0,anomaly
23,3,3,6,1,1,3,3,0,anomaly
38,3,3,5,1,1,1,4,0,anomaly
37,2,3,4,1,1,2,3,0,anomaly
17,2,3,1,1,1,3,2,0,anomaly
39,3,4,3,1,1,1,4,0,anomaly
49,1,3,0,1,1,3,3,1,anomaly
23,3,3,2,1,1,2,2,0,anomaly
40,3,3,3,1,1,2,2,1,anomaly
32,2,4,5,1,1,2,3,0,anomaly
18,2,3,1,1,1,2,3,0,anomaly
46,1,2,8,1,1,3,3,1,anomaly
37,3,3,6,1,1,2,2,0,anomaly
38,2,4,5,0,1,2,2,0,anomaly
37,2,3,2,0,0,3,3,0,anomaly
25,2,3,1,1,0,2,1,0,anomaly
38,2,4,5,1,1,3,3,0,anomaly
39,4,4,2,1,0,1,4,0,anomaly
44,4,4,3,1,0,1,4,1,anomaly
19,4,4,0,0,1,3,4,0,anomaly
28,2,4,1,1,0,3,4,0,anomaly
20,2,3,1,1,1,3,4,0,anomaly
33,4,4,0,1,0,3,3,0,anomaly
33,4,4,5,1,1,3,4,0,anomaly
47,1,4,6,1,1,1,4,0,anomaly
25,3,3,0,1,1,3,4,0,anomaly
29,4,4,0,1,0,2,4,0,anomaly
37,4,4,2,0,1,1,4,0,anomaly
49,1,3,6,1,1,2,4,0,anomaly
48,1,1,8,1,0,2,2,1,anomaly
19,2,2,0,1,1,2,2,0,anomaly
46,1,2,3,1,1,2,1,1,anomaly
39,1,2,2,1,1,3,1,1,anomaly
30,3,4,5,1,1,1,4,0,anomaly
40,2,2,8,1,1,2,2,0,anomaly
43,1,2,1,1,1,3,4,1,anomaly
29,3,4,4,1,0,1,3,0,anomaly
23,3,3,2,1,1,3,3,0,anomaly
24,2,2,3,1,1,2,4,0,anomaly
47,3,3,2,1,1,2,4,0,anomaly
35,3,3,2,1,0,2,2,0,anomaly
19,3,3,1,1,1,2,4,0,anomaly
45,2,3,4,1,0,2,4,0,anomaly
42,2,4,2,1,1,3,4,0,anomaly
47,1,1,1,1,1,3,4,0,anomaly
25,2,2,2,1,1,3,1,0,anomaly
20,2,3,3,1,1,3,4,0,anomaly
33,3,3,6,1,1,3,4,0,normal
46,4,3,5,1,1,1,4,0,normal
35,4,4,4,1,1,1,4,0,normal
26,4,4,2,1,0,1,4,0,normal
36,3,3,5,1,0,1,3,0,normal
37,3,4,3,1,1,1,3,0,normal
44,2,4,4,1,1,3,3,0,normal
32,4,4,2,1,1,1,4,0,normal
25,2,4,6,1,1,3,4,0,normal
42,2,3,7,1,1,3,4,0,normal
30,4,4,2,0,0,1,4,0,normal
39,4,4,4,1,1,1,4,0,normal
26,1,1,2,1,1,3,4,0,normal
30,2,4,3,1,1,3,4,0,normal
38,4,4,4,0,0,1,2,0,normal
23,4,4,1,1,1,1,2,0,normal
18,3,4,1,1,1,3,4,0,normal
25,3,4,3,1,1,2,3,0,normal
37,4,4,2,1,0,3,3,0,normal
20,3,4,1,1,1,3,2,0,normal
45,4,4,7,1,1,1,4,0,normal
28,2,1,2,1,0,3,3,0,normal
33,2,2,3,1,1,2,3,0,normal
28,2,3,2,1,1,3,3,0,normal
30,2,4,1,1,0,3,4,0,normal
32,4,4,4,1,1,2,4,0,normal
48,4,3,7,1,0,2,4,0,normal
46,4,4,2,1,0,1,4,0,normal
32,4,4,2,0,0,1,4,0,normal
49,4,4,10,1,1,1,4,0,normal
33,2,2,6,1,0,3,4,0,normal
39,4,4,3,1,1,1,4,0,normal
35,4,4,5,0,0,1,4,0,normal
36,4,4,3,0,1,1,3,0,normal
20,3,4,1,1,1,2,4,0,normal
23,4,4,1,1,1,3,4,0,normal
26,2,4,2,1,1,1,3,0,normal
25,3,3,1,1,1,3,1,0,normal
31,4,4,1,1,1,1,4,0,normal
36,4,4,2,1,1,2,4,0,normal
32,3,3,2,1,0,3,4,0,normal
36,4,4,3,1,1,1,4,0,normal
40,4,4,3,1,1,1,4,0,normal
46,4,4,4,1,1,1,4,0,normal
42,4,4,8,0,1,1,4,0,normal
39,4,4,4,1,0,1,4,0,normal
34,4,4,2,1,1,1,4,0,normal
36,4,4,3,1,1,1,4,0,normal
37,4,4,3,1,1,1,4,0,normal
36,4,4,4,0,1,1,4,0,normal
38,4,4,2,1,1,1,4,0,normal
27,3,3,1,0,0,2,4,0,normal
37,4,3,8,1,1,1,4,0,normal
24,1,4,1,1,0,4,2,1,normal
42,2,4,8,1,1,1,4,0,normal
31,4,4,3,0,0,4,4,0,normal
34,2,3,2,1,1,3,3,0,normal
34,4,4,4,1,1,3,3,0,normal
36,4,4,4,0,0,1,4,0,normal
47,4,4,8,1,1,1,4,0,normal
34,4,4,3,1,1,1,4,0,normal
44,4,4,6,0,1,1,3,0,normal
21,4,4,1,1,1,1,4,0,normal
42,4,4,6,1,1,1,3,0,normal
44,4,4,4,1,0,2,3,0,normal
19,4,4,1,1,1,2,3,0,normal
35,1,3,7,1,0,2,3,1,normal
24,4,4,1,1,1,3,2,0,normal
32,3,4,7,0,1,1,3,0,normal
31,3,3,2,1,0,3,3,0,normal
47,3,4,11,1,0,2,3,0,normal
38,4,4,6,1,0,3,3,0,normal
40,4,4,4,1,1,1,3,0,normal
35,3,3,4,1,1,3,2,0,normal
26,3,4,3,1,1,3,4,0,normal
23,4,3,3,1,1,3,3,0,normal
40,4,4,6,0,0,1,4,0,normal
37,4,4,3,1,1,1,4,0,normal
39,4,4,5,1,1,2,4,0,normal
25,4,4,2,1,1,2,4,0,normal
48,4,4,4,0,1,1,4,0,normal
31,4,4,3,1,1,1,4,0,normal
26,4,4,1,0,1,2,4,0,normal
44,4,4,5,1,0,1,4,0,normal
29,4,4,1,1,0,2,4,0,normal
36,2,1,6,1,1,2,1,0,normal
29,4,4,2,1,0,1,3,0,normal
37,2,3,7,1,1,3,4,0,normal
28,3,3,3,1,1,1,2,0,normal
40,2,3,6,1,1,1,2,0,normal
33,4,4,4,1,1,1,4,0,normal
22,4,4,1,1,1,1,2,0,normal
35,3,4,5,1,0,1,3,1,normal
32,4,4,3,0,1,3,3,0,normal
35,4,4,5,1,0,1,3,0,normal
29,4,4,2,1,1,1,4,0,normal
23,3,3,2,1,0,3,4,0,normal
35,4,4,2,1,0,1,4,0,normal
36,4,4,3,1,0,2,4,0,normal
32,4,4,2,1,0,1,4,0,normal
30,4,1,4,1,1,3,3,0,normal
36,4,4,4,0,1,2,4,0,normal
33,4,4,3,1,1,3,4,0,normal
33,3,4,5,0,1,3,3,0,normal
43,2,4,13,1,1,2,3,0,normal
35,3,3,6,1,1,2,3,0,normal
38,4,4,5,1,1,1,3,0,normal
25,3,1,4,1,1,3,1,0,normal
26,3,3,2,1,1,3,2,0,normal
24,4,4,1,1,1,3,4,0,normal
22,3,4,1,1,1,4,4,0,normal
33,2,3,5,1,0,2,1,0,normal
45,3,3,7,1,1,3,4,0,normal
29,4,4,2,1,0,1,3,0,normal
47,2,2,7,1,1,2,4,0,normal
36,3,2,6,1,1,3,2,0,normal
45,3,3,8,1,1,2,3,0,normal
47,4,4,6,1,0,1,4,0,normal
43,3,4,2,1,0,2,4,0,normal
44,4,4,7,1,1,3,2,0,normal
24,2,4,2,1,1,3,3,0,normal
28,4,4,2,1,0,1,3,0,normal
34,4,4,5,1,1,3,4,0,normal
31,3,4,4,1,1,1,3,0,normal
27,4,4,3,1,1,1,4,0,normal
27,3,3,1,1,0,3,4,0,normal
26,4,4,1,1,0,1,3,0,normal
36,3,4,7,1,1,2,2,0,normal
35,4,4,4,0,1,3,3,0,normal
38,4,4,6,1,1,3,3,0,normal
44,4,4,7,1,1,2,4,0,normal
25,4,4,1,1,1,1,4,0,normal
25,4,4,2,0,1,1,3,0,normal
41,4,4,4,1,1,1,4,0,normal
41,3,4,5,1,1,1,3,0,normal
24,4,4,1,1,0,1,4,0,normal
33,4,4,3,1,1,3,3,0,normal
29,4,4,3,1,0,3,3,0,normal
47,4,4,4,1,0,1,4,0,normal
28,4,4,4,1,1,1,3,0,normal
21,2,2,1,1,1,3,2,0,normal
32,3,3,6,1,0,3,3,0,normal
30,3,4,2,1,1,1,4,0,normal
37,4,4,5,1,1,3,4,0,normal
29,4,3,4,1,0,3,2,0,normal
38,4,4,3,1,0,1,4,0,normal
49,3,3,11,1,1,1,4,0,normal
41,3,3,5,1,1,1,4,0,normal
43,3,4,5,1,1,3,2,1,normal
47,1,1,10,1,1,3,3,0,normal
22,4,4,1,1,1,1,3,0,normal
27,4,4,1,0,0,1,4,0,normal
34,3,4,2,0,1,2,3,0,normal
42,3,3,4,1,1,2,4,0,normal
39,4,4,3,0,0,1,4,0,normal
36,4,4,3,0,1,2,4,0,normal
21,4,4,1,1,1,2,1,0,normal
36,3,4,4,0,0,2,4,0,normal
25,2,3,1,1,0,4,4,0,normal
41,4,4,4,0,0,2,4,0,normal
32,4,4,4,0,0,2,4,0,normal
41,4,4,4,0,0,2,4,0,normal
43,4,4,3,0,1,1,4,0,normal
35,4,4,3,1,1,2,3,0,normal
24,4,4,2,1,0,1,3,0,normal
43,4,4,6,1,1,1,4,0,normal
48,4,4,7,0,1,1,4,0,normal
28,4,4,2,1,1,1,3,0,normal
24,4,4,1,1,1,1,4,0,normal
42,4,4,3,1,0,1,4,0,normal
39,4,4,3,1,1,1,4,0,normal
24,4,4,1,1,1,1,4,0,normal
33,4,3,5,1,1,2,4,0,normal
29,4,4,2,1,1,3,4,0,normal
44,4,4,5,1,1,1,4,0,normal
17,4,4,1,1,1,2,4,0,normal
35,3,4,3,1,1,2,2,0,normal
32,3,4,5,1,1,1,2,0,normal
27,4,4,2,1,0,1,3,0,normal
44,4,4,4,1,1,1,4,0,normal
42,4,4,5,1,1,1,4,0,normal
40,4,4,6,1,1,1,3,0,normal
44,4,4,3,1,1,1,4,0,normal
33,4,4,5,1,1,2,4,0,normal
35,2,4,3,0,0,3,4,1,normal
31,4,2,2,0,1,1,3,0,normal
37,4,4,3,0,1,3,4,0,normal
45,4,4,3,0,1,2,4,0,normal
26,4,4,2,0,1,1,4,0,normal
40,3,4,2,0,1,3,4,0,normal
30,4,4,1,0,1,2,4,0,normal
36,3,4,3,0,0,3,4,0,normal
33,3,4,3,0,1,2,4,0,normal
41,4,4,5,0,1,2,4,0,normal
45,3,3,6,0,1,2,4,0,normal
48,4,4,6,0,1,2,4,0,normal
35,4,4,3,0,0,3,4,0,normal
37,4,4,4,0,0,2,4,0,normal
46,4,4,3,0,0,1,4,0,normal
38,4,4,4,0,1,3,4,0,normal
30,3,4,7,1,1,2,4,0,normal
42,4,3,7,1,0,1,4,0,normal
35,2,2,6,1,1,3,4,0,normal
34,4,4,6,1,1,3,4,0,normal
37,4,4,4,1,1,1,4,0,normal
38,4,4,6,1,1,1,4,0,normal
30,3,3,2,1,1,2,3,0,normal
