cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,anomaly
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
p,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,normal
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,anomaly
e,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,anomaly
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,anomaly
e,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,anomaly
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,normal
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,normal
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,normal
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,normal
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,normal
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,normal
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,normal
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,normal
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,normal
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,normal
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,anomaly
e,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,normal
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,normal
e,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,normal
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,normal
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,normal
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,normal
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,normal
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,normal
e,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,normal
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,normal
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,normal
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,normal
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,normal
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,normal
e,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,normal
e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,normal
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,anomaly
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,normal
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,normal
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,anomaly
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,anomaly
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,normal
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,normal
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,normal
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,normal
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,normal
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,normal
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,normal
e,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,normal
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,normal
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,normal
e,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,normal
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,normal
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,normal
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
e,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,anomaly
p,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,anomaly
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
p,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,anomaly
e,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,normal
e,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,normal
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,normal
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,normal
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,normal
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,anomaly
e,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,anomaly
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,anomaly
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,anomaly
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,normal
