Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,class
ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,normal
ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,normal
ATPD_YEAST,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,normal
ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,normal
ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,normal
ATP8_YEAST,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,normal
BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,normal
BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,normal
BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,normal
BCS1_YEAST,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,normal
KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,normal
BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,normal
BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,normal
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,normal
YMC4_YEAST,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,normal
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,normal
BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,normal
CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,normal
CAP2_YEAST,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,normal
CAPA_YEAST,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,normal
CAPB_YEAST,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,normal
ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,normal
OAT_YEAST,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,normal
CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,normal
CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,normal
CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,normal
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,normal
CBP1_YEAST,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,normal
CBP2_YEAST,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,normal
CBP3_YEAST,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,normal
CBP4_YEAST,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,normal
CBP6_YEAST,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,normal
NC5R_YEAST,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,normal
CBS1_YEAST,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,normal
CBS2_YEAST,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,normal
TNT_YEAST,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,normal
CCE1_YEAST,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,normal
CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,normal
CCPR_YEAST,0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,normal
CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,normal
CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,normal
CC10_YEAST,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,normal
CC11_YEAST,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,normal
CC12_YEAST,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,normal
CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,normal
CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,normal
CC24_YEAST,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,normal
CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,normal
CDC3_YEAST,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,normal
CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,normal
IF4E_YEAST,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,normal
UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,normal
NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,normal
NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,normal
CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,normal
CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,normal
CC42_YEAST,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,normal
CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,normal
RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,normal
CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,normal
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,normal
CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,normal
CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,normal
SYLC_YEAST,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,normal
CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,normal
CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,normal
KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,normal
DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,normal
MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,normal
CEM1_YEAST,0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,normal
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,normal
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,normal
CLH_YEAST,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,normal
CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,normal
CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,normal
CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,normal
CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,normal
CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,normal
CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,normal
CISY_YEAST,0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,normal
KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,normal
KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,normal
KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,normal
KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,normal
CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,normal
CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,normal
CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,normal
CG13_YEAST,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,normal
CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,normal
KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,normal
KCC2_YEAST,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,normal
P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,normal
P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,normal
CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,normal
CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,normal
COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,normal
COQ1_YEAST,0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,normal
COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,normal
COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,normal
UCR1_YEAST,0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,normal
COT1_YEAST,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,normal
COX1_YEAST,0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,normal
COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,normal
COXZ_YEAST,0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,normal
COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,normal
COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,normal
YEX1_YEAST,0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,normal
COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,normal
COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,normal
COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,normal
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,normal
COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,normal
COX6_YEAST,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,normal
COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,normal
COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,normal
COX9_YEAST,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,normal
CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,normal
CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,normal
CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,normal
CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,normal
CYPD_YEAST,0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,anomaly
CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,normal
R141_YEAST,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,normal
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,normal
CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,normal
CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,normal
YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,normal
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,normal
CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,normal
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,normal
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,normal
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,normal
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,normal
CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,normal
CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,normal
CCHL_YEAST,0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,normal
CYC7_YEAST,0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,normal
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,normal
CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,normal
CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,normal
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,normal
CYT2_YEAST,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,normal
DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,normal
DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,normal
DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,normal
DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,normal
DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,normal
DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,normal
DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,normal
DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,normal
DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,normal
DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,normal
DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,normal
DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,normal
DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,normal
DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,normal
DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,normal
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,normal
DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,normal
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,normal
DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,normal
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,normal
TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,normal
DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,normal
EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,normal
EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,normal
EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,normal
END3_YEAST,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,normal
ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,normal
ENO2_YEAST,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,normal
THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,normal
KIME_YEAST,0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,normal
FPPS_YEAST,0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,normal
ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,normal
ERG8_YEAST,0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,normal
ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,normal
EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,normal
EUG1_YEAST,0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,anomaly
LCF2_YEAST,0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,normal
FAD1_YEAST,0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,normal
FAS1_YEAST,0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,normal
FAS2_YEAST,0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,normal
COAC_YEAST,0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,normal
ALF_YEAST,0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,normal
F16P_YEAST,0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,normal
F26_YEAST,0.71,0.59,0.53,0.15,0.5,0.0,0.49,0.33,normal
FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,normal
FKBP_YEAST,0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,normal
FKB3_YEAST,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,normal
SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,normal
SYFB_YEAST,0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28,normal
FUMH_YEAST,0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,normal
FUR1_YEAST,0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,normal
FUS3_YEAST,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,normal
FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,normal
GAC1_YEAST,0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,normal
GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0.0,0.57,0.22,normal
GALX_YEAST,0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,normal
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,normal
GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,normal
GAL7_YEAST,0.5,0.5,0.48,0.17,0.5,0.0,0.47,0.26,normal
GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,normal
GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,normal
GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,normal
E2BG_YEAST,0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,normal
IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,normal
E2BD_YEAST,0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,normal
E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,normal
E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,normal
GCN1_YEAST,0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,normal
GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,normal
E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,normal
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,normal
GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,normal
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,normal
GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,normal
GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,normal
GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,normal
GCY_YEAST,0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,normal
DHE4_YEAST,0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,normal
DHE2_YEAST,0.59,0.43,0.52,0.19,0.5,0.0,0.55,0.27,normal
GDI1_YEAST,0.64,0.53,0.45,0.13,0.5,0.0,0.53,0.22,normal
GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0.0,0.51,0.4,normal
GLGB_YEAST,0.49,0.43,0.48,0.15,0.5,0.0,0.55,0.25,normal
PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0.0,0.53,0.28,normal
HXKG_YEAST,0.48,0.39,0.49,0.18,0.5,0.0,0.51,0.22,normal
GLNA_YEAST,0.44,0.34,0.55,0.18,0.5,0.0,0.52,0.22,normal
GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0.0,0.5,0.36,normal
SYQ_YEAST,0.49,0.42,0.54,0.17,0.5,0.0,0.5,0.36,normal
GLO3_YEAST,0.34,0.66,0.51,0.16,0.5,0.0,0.47,0.33,normal
6PGD_YEAST,0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,normal
GBA1_YEAST,0.3,0.5,0.47,0.11,0.5,0.0,0.46,0.22,normal
GPDA_YEAST,0.44,0.51,0.48,0.38,0.5,0.0,0.52,0.22,normal
PHSG_YEAST,0.31,0.45,0.5,0.17,0.5,0.0,0.49,0.22,normal
PMGY_YEAST,0.55,0.41,0.56,0.21,0.5,0.0,0.52,0.22,normal
PHO2_YEAST,0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,normal
SYG_YEAST,0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,normal
GSP1_YEAST,0.58,0.48,0.56,0.1,0.5,0.0,0.46,0.25,normal
GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,normal
UGS1_YEAST,0.58,0.45,0.48,0.24,0.5,0.0,0.52,0.37,normal
UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0.0,0.51,0.37,normal
GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,normal
GPDM_YEAST,0.69,0.5,0.49,0.42,0.5,0.0,0.49,0.22,normal
HAL1_YEAST,0.38,0.49,0.61,0.13,0.5,0.0,0.54,0.22,normal
CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0.0,0.54,0.63,normal
HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0.0,0.31,0.26,normal
