buying,maint,doors,persons, lug_boot,safety,class
vhigh,vhigh,4,2,small,high,normal
vhigh,vhigh,4,2,med,low,normal
vhigh,vhigh,4,2,med,med,normal
vhigh,vhigh,4,2,med,high,normal
vhigh,vhigh,4,2,big,low,normal
vhigh,vhigh,4,2,big,med,normal
vhigh,vhigh,4,2,big,high,normal
vhigh,vhigh,4,4,small,low,normal
vhigh,vhigh,4,4,small,med,normal
vhigh,vhigh,4,4,small,high,normal
vhigh,vhigh,4,4,med,low,normal
vhigh,vhigh,4,4,med,med,normal
vhigh,vhigh,4,4,med,high,normal
vhigh,vhigh,4,4,big,low,normal
vhigh,vhigh,4,4,big,med,normal
vhigh,vhigh,4,4,big,high,normal
vhigh,vhigh,4,more,small,low,normal
vhigh,vhigh,4,more,small,med,normal
vhigh,vhigh,4,more,small,high,normal
vhigh,vhigh,4,more,med,low,normal
vhigh,vhigh,4,more,med,med,normal
vhigh,vhigh,4,more,med,high,normal
vhigh,vhigh,4,more,big,low,normal
vhigh,vhigh,4,more,big,med,normal
vhigh,vhigh,4,more,big,high,normal
vhigh,vhigh,5more,2,small,low,normal
vhigh,vhigh,5more,2,small,med,normal
vhigh,vhigh,5more,2,small,high,normal
vhigh,vhigh,5more,2,med,low,normal
vhigh,vhigh,5more,2,med,med,normal
vhigh,vhigh,5more,2,med,high,normal
vhigh,vhigh,5more,2,big,low,normal
vhigh,vhigh,5more,2,big,med,normal
vhigh,vhigh,5more,2,big,high,normal
vhigh,vhigh,5more,4,small,low,normal
vhigh,vhigh,5more,4,small,med,normal
vhigh,vhigh,5more,4,small,high,normal
vhigh,vhigh,5more,4,med,low,normal
vhigh,vhigh,5more,4,med,med,normal
vhigh,vhigh,5more,4,med,high,normal
vhigh,vhigh,5more,4,big,low,normal
vhigh,vhigh,5more,4,big,med,normal
vhigh,vhigh,5more,4,big,high,normal
vhigh,vhigh,5more,more,small,low,normal
vhigh,vhigh,5more,more,small,med,normal
vhigh,vhigh,5more,more,small,high,normal
vhigh,vhigh,5more,more,med,low,normal
vhigh,vhigh,5more,more,med,med,normal
vhigh,vhigh,5more,more,med,high,normal
vhigh,vhigh,5more,more,big,low,normal
vhigh,vhigh,5more,more,big,med,normal
vhigh,vhigh,5more,more,big,high,normal
vhigh,high,2,2,small,low,normal
vhigh,high,2,2,small,med,normal
vhigh,high,2,2,small,high,normal
vhigh,high,2,2,med,low,normal
vhigh,high,2,2,med,med,normal
vhigh,high,2,2,med,high,normal
vhigh,high,2,2,big,low,normal
vhigh,high,2,2,big,med,normal
vhigh,high,2,2,big,high,normal
vhigh,high,2,4,small,low,normal
vhigh,high,2,4,small,med,normal
vhigh,high,2,4,small,high,normal
vhigh,high,2,4,med,low,normal
vhigh,high,2,4,med,med,normal
vhigh,high,2,4,med,high,normal
vhigh,high,2,4,big,low,normal
vhigh,high,2,4,big,med,normal
vhigh,high,2,4,big,high,normal
vhigh,high,2,more,small,low,normal
vhigh,high,2,more,small,med,normal
vhigh,high,2,more,small,high,normal
vhigh,high,2,more,med,low,normal
vhigh,high,2,more,med,med,normal
vhigh,high,2,more,med,high,normal
vhigh,high,2,more,big,low,normal
vhigh,high,2,more,big,med,normal
vhigh,high,2,more,big,high,normal
vhigh,high,3,2,small,low,normal
vhigh,high,3,2,small,med,normal
vhigh,high,3,2,small,high,normal
vhigh,high,3,2,med,low,normal
vhigh,high,3,2,med,med,normal
vhigh,high,3,2,med,high,normal
vhigh,high,3,2,big,low,normal
vhigh,high,3,2,big,med,normal
vhigh,high,3,2,big,high,normal
vhigh,high,3,4,small,low,normal
vhigh,high,3,4,small,med,normal
vhigh,high,3,4,small,high,normal
vhigh,high,3,4,med,low,normal
vhigh,high,3,4,med,med,normal
vhigh,high,3,4,med,high,normal
vhigh,high,3,4,big,low,normal
vhigh,high,3,4,big,med,normal
vhigh,high,3,4,big,high,normal
vhigh,high,3,more,small,low,normal
vhigh,high,3,more,small,med,normal
vhigh,high,3,more,small,high,normal
vhigh,high,3,more,med,low,normal
vhigh,high,3,more,med,med,normal
vhigh,high,3,more,med,high,normal
vhigh,high,3,more,big,low,normal
vhigh,high,3,more,big,med,normal
vhigh,high,3,more,big,high,normal
vhigh,high,4,2,small,low,normal
vhigh,high,4,2,small,med,normal
vhigh,high,4,2,small,high,normal
vhigh,high,4,2,med,low,normal
vhigh,high,4,2,med,med,normal
vhigh,high,4,2,med,high,normal
vhigh,high,4,2,big,low,normal
vhigh,high,4,2,big,med,normal
vhigh,high,4,2,big,high,normal
vhigh,high,4,4,small,low,normal
vhigh,high,4,4,small,med,normal
vhigh,high,4,4,small,high,normal
vhigh,high,4,4,med,low,normal
vhigh,high,4,4,med,med,normal
vhigh,high,4,4,med,high,normal
vhigh,high,4,4,big,low,normal
vhigh,high,4,4,big,med,normal
vhigh,high,4,4,big,high,normal
vhigh,high,4,more,small,low,normal
vhigh,high,4,more,small,med,normal
vhigh,high,4,more,small,high,normal
vhigh,high,4,more,med,low,normal
vhigh,high,4,more,med,med,normal
vhigh,high,4,more,med,high,normal
vhigh,high,4,more,big,low,normal
vhigh,high,4,more,big,med,normal
vhigh,high,4,more,big,high,normal
vhigh,high,5more,2,small,low,normal
vhigh,high,5more,2,small,med,normal
vhigh,high,5more,2,small,high,normal
vhigh,high,5more,2,med,low,normal
vhigh,high,5more,2,med,med,normal
vhigh,high,5more,2,med,high,normal
vhigh,high,5more,2,big,low,normal
vhigh,high,5more,2,big,med,normal
vhigh,high,5more,2,big,high,normal
vhigh,high,5more,4,small,low,normal
vhigh,high,5more,4,small,med,normal
vhigh,high,5more,4,small,high,normal
vhigh,high,5more,4,med,low,normal
vhigh,high,5more,4,med,med,normal
vhigh,high,5more,4,med,high,normal
vhigh,high,5more,4,big,low,normal
vhigh,high,5more,4,big,med,normal
vhigh,high,5more,4,big,high,normal
vhigh,high,5more,more,small,low,normal
vhigh,high,5more,more,small,med,normal
vhigh,high,5more,more,small,high,normal
vhigh,high,5more,more,med,low,normal
vhigh,high,5more,more,med,med,normal
vhigh,high,5more,more,med,high,normal
vhigh,high,5more,more,big,low,normal
vhigh,high,5more,more,big,med,normal
vhigh,high,5more,more,big,high,normal
vhigh,med,2,2,small,low,normal
vhigh,med,2,2,small,med,normal
vhigh,med,2,2,small,high,normal
vhigh,med,2,2,med,low,normal
vhigh,med,2,2,med,med,normal
vhigh,med,2,2,med,high,normal
vhigh,med,2,2,big,low,normal
vhigh,med,2,2,big,med,normal
vhigh,med,2,2,big,high,normal
vhigh,med,2,4,small,low,normal
vhigh,med,2,4,small,med,normal
vhigh,med,2,4,small,high,normal
vhigh,med,2,4,med,low,normal
vhigh,med,2,4,med,med,normal
vhigh,med,2,4,med,high,normal
vhigh,med,2,4,big,low,normal
vhigh,med,2,4,big,med,normal
vhigh,med,2,4,big,high,normal
vhigh,med,2,more,small,low,normal
vhigh,med,2,more,small,med,normal
vhigh,med,2,more,small,high,normal
vhigh,med,2,more,med,low,normal
vhigh,med,2,more,med,med,normal
vhigh,med,2,more,med,high,normal
vhigh,med,2,more,big,low,normal
vhigh,med,2,more,big,med,normal
vhigh,med,2,more,big,high,normal
vhigh,med,3,2,small,low,normal
vhigh,med,3,2,small,med,normal
vhigh,med,3,2,small,high,normal
vhigh,med,3,2,med,low,normal
vhigh,med,3,2,med,med,normal
vhigh,med,3,2,med,high,normal
vhigh,med,3,2,big,low,normal
vhigh,med,3,2,big,med,normal
vhigh,med,3,2,big,high,normal
vhigh,med,3,4,small,low,normal
vhigh,med,3,4,small,med,normal
vhigh,med,3,4,small,high,normal
vhigh,med,3,4,med,low,normal
vhigh,med,3,4,med,med,normal
vhigh,med,3,4,med,high,normal
vhigh,med,3,4,big,low,normal
vhigh,med,3,4,big,med,normal
vhigh,med,3,4,big,high,normal
vhigh,med,3,more,small,low,normal
vhigh,med,3,more,small,med,normal
vhigh,med,3,more,small,high,normal
vhigh,med,3,more,med,low,normal
vhigh,med,3,more,med,med,normal
vhigh,med,3,more,med,high,normal
vhigh,med,3,more,big,low,normal
vhigh,med,3,more,big,med,normal
vhigh,med,3,more,big,high,normal
vhigh,med,4,2,small,low,normal
vhigh,med,4,2,small,med,normal
vhigh,med,4,2,small,high,normal
vhigh,med,4,2,med,low,normal
vhigh,med,4,2,med,med,normal
vhigh,med,4,2,med,high,normal
vhigh,med,4,2,big,low,normal
vhigh,med,4,2,big,med,normal
vhigh,med,4,2,big,high,normal
vhigh,med,4,4,small,low,normal
vhigh,med,4,4,small,med,normal
vhigh,med,4,4,small,high,normal
vhigh,med,4,4,med,low,normal
vhigh,med,4,4,med,med,normal
vhigh,med,4,4,med,high,normal
vhigh,med,4,4,big,low,normal
vhigh,med,4,4,big,med,normal
vhigh,med,4,4,big,high,normal
vhigh,med,4,more,small,low,normal
vhigh,med,4,more,small,med,normal
vhigh,med,4,more,small,high,normal
vhigh,med,4,more,med,low,normal
vhigh,med,4,more,med,med,normal
vhigh,med,4,more,med,high,normal
vhigh,med,4,more,big,low,normal
vhigh,med,4,more,big,med,normal
vhigh,med,4,more,big,high,normal
vhigh,med,5more,2,small,low,normal
vhigh,med,5more,2,small,med,normal
vhigh,med,5more,2,small,high,normal
vhigh,med,5more,2,med,low,normal
vhigh,med,5more,2,med,med,normal
vhigh,med,5more,2,med,high,normal
vhigh,med,5more,2,big,low,normal
vhigh,med,5more,2,big,med,normal
vhigh,med,5more,2,big,high,normal
vhigh,med,5more,4,small,low,normal
vhigh,med,5more,4,small,med,normal
vhigh,med,5more,4,small,high,normal
vhigh,med,5more,4,med,low,normal
vhigh,med,5more,4,med,med,normal
vhigh,med,5more,4,med,high,normal
vhigh,med,5more,4,big,low,normal
vhigh,med,5more,4,big,med,normal
vhigh,med,5more,4,big,high,normal
vhigh,med,5more,more,small,low,normal
vhigh,med,5more,more,small,med,normal
vhigh,med,5more,more,small,high,normal
vhigh,med,5more,more,med,low,normal
vhigh,med,5more,more,med,med,normal
vhigh,med,5more,more,med,high,normal
vhigh,med,5more,more,big,low,normal
vhigh,med,5more,more,big,med,normal
vhigh,med,5more,more,big,high,normal
vhigh,low,2,2,small,low,normal
vhigh,low,2,2,small,med,normal
vhigh,low,2,2,small,high,normal
vhigh,low,2,2,med,low,normal
vhigh,low,2,2,med,med,normal
vhigh,low,2,2,med,high,normal
vhigh,low,2,2,big,low,normal
vhigh,low,2,2,big,med,normal
vhigh,low,2,2,big,high,normal
vhigh,low,2,4,small,low,normal
vhigh,low,2,4,small,med,normal
vhigh,low,2,4,small,high,normal
vhigh,low,2,4,med,low,normal
vhigh,low,2,4,med,med,normal
vhigh,low,2,4,med,high,normal
vhigh,low,2,4,big,low,normal
vhigh,low,2,4,big,med,normal
vhigh,low,2,4,big,high,normal
vhigh,low,2,more,small,low,normal
vhigh,low,2,more,small,med,normal
vhigh,low,2,more,small,high,normal
vhigh,low,2,more,med,low,normal
vhigh,low,2,more,med,med,normal
vhigh,low,2,more,med,high,normal
vhigh,low,2,more,big,low,normal
vhigh,low,2,more,big,med,normal
vhigh,low,2,more,big,high,normal
vhigh,low,3,2,small,low,normal
vhigh,low,3,2,small,med,normal
vhigh,low,3,2,small,high,normal
vhigh,low,3,2,med,low,normal
vhigh,low,3,2,med,med,normal
vhigh,low,3,2,med,high,normal
vhigh,low,3,2,big,low,normal
vhigh,low,3,2,big,med,normal
vhigh,low,3,2,big,high,normal
vhigh,low,3,4,small,low,normal
vhigh,low,3,4,small,med,normal
vhigh,low,3,4,small,high,normal
vhigh,low,3,4,med,low,normal
vhigh,low,3,4,med,med,normal
vhigh,low,3,4,med,high,normal
vhigh,low,3,4,big,low,normal
vhigh,low,3,4,big,med,normal
vhigh,low,3,4,big,high,normal
vhigh,low,3,more,small,low,normal
vhigh,low,3,more,small,med,normal
vhigh,low,3,more,small,high,normal
vhigh,low,3,more,med,low,normal
vhigh,low,3,more,med,med,normal
vhigh,low,3,more,med,high,normal
vhigh,low,3,more,big,low,normal
vhigh,low,3,more,big,med,normal
vhigh,low,3,more,big,high,normal
vhigh,low,4,2,small,low,normal
vhigh,low,4,2,small,med,normal
vhigh,low,4,2,small,high,normal
vhigh,low,4,2,med,low,normal
vhigh,low,4,2,med,med,normal
vhigh,low,4,2,med,high,normal
vhigh,low,4,2,big,low,normal
vhigh,low,4,2,big,med,normal
vhigh,low,4,2,big,high,normal
vhigh,low,4,4,small,low,normal
vhigh,low,4,4,small,med,normal
vhigh,low,4,4,small,high,normal
vhigh,low,4,4,med,low,normal
vhigh,low,4,4,med,med,normal
vhigh,low,4,4,med,high,normal
vhigh,low,4,4,big,low,normal
vhigh,low,4,4,big,med,normal
vhigh,low,4,4,big,high,normal
vhigh,low,4,more,small,low,normal
vhigh,low,4,more,small,med,normal
vhigh,low,4,more,small,high,normal
vhigh,low,4,more,med,low,normal
vhigh,low,4,more,med,med,normal
vhigh,low,4,more,med,high,normal
vhigh,low,4,more,big,low,normal
vhigh,low,4,more,big,med,normal
vhigh,low,4,more,big,high,normal
vhigh,low,5more,2,small,low,normal
vhigh,low,5more,2,small,med,normal
vhigh,low,5more,2,small,high,normal
vhigh,low,5more,2,med,low,normal
vhigh,low,5more,2,med,med,normal
vhigh,low,5more,2,med,high,normal
vhigh,low,5more,2,big,low,normal
vhigh,low,5more,2,big,med,normal
vhigh,low,5more,2,big,high,normal
vhigh,low,5more,4,small,low,normal
vhigh,low,5more,4,small,med,normal
vhigh,low,5more,4,small,high,normal
vhigh,low,5more,4,med,low,normal
vhigh,low,5more,4,med,med,normal
vhigh,low,5more,4,med,high,normal
vhigh,low,5more,4,big,low,normal
vhigh,low,5more,4,big,med,normal
vhigh,low,5more,4,big,high,normal
vhigh,low,5more,more,small,low,normal
vhigh,low,5more,more,small,med,normal
vhigh,low,5more,more,small,high,normal
vhigh,low,5more,more,med,low,normal
vhigh,low,5more,more,med,med,normal
vhigh,low,5more,more,med,high,normal
vhigh,low,5more,more,big,low,normal
vhigh,low,5more,more,big,med,normal
vhigh,low,5more,more,big,high,normal
high,vhigh,2,2,small,low,normal
high,vhigh,2,2,small,med,normal
high,vhigh,2,2,small,high,normal
high,vhigh,2,2,med,low,normal
high,vhigh,2,2,med,med,normal
high,vhigh,2,2,med,high,normal
high,vhigh,2,2,big,low,normal
high,vhigh,2,2,big,med,normal
high,vhigh,2,2,big,high,normal
high,vhigh,2,4,small,low,normal
high,vhigh,2,4,small,med,normal
high,vhigh,2,4,small,high,normal
high,vhigh,2,4,med,low,normal
high,vhigh,2,4,med,med,normal
high,vhigh,2,4,med,high,normal
high,vhigh,2,4,big,low,normal
high,vhigh,2,4,big,med,normal
high,vhigh,2,4,big,high,normal
high,vhigh,2,more,small,low,normal
high,vhigh,2,more,small,med,normal
high,vhigh,2,more,small,high,normal
high,vhigh,2,more,med,low,normal
high,vhigh,2,more,med,med,normal
high,vhigh,2,more,med,high,normal
high,vhigh,2,more,big,low,normal
high,vhigh,2,more,big,med,normal
high,vhigh,2,more,big,high,normal
high,vhigh,3,2,small,low,normal
high,vhigh,3,2,small,med,normal
high,vhigh,3,2,small,high,normal
high,vhigh,3,2,med,low,normal
high,vhigh,3,2,med,med,normal
high,vhigh,3,2,med,high,normal
high,vhigh,3,2,big,low,normal
high,vhigh,3,2,big,med,normal
high,vhigh,3,2,big,high,normal
high,vhigh,3,4,small,low,normal
high,vhigh,3,4,small,med,normal
high,vhigh,3,4,small,high,normal
high,vhigh,3,4,med,low,normal
high,vhigh,3,4,med,med,normal
high,vhigh,3,4,med,high,normal
high,vhigh,3,4,big,low,normal
high,vhigh,3,4,big,med,normal
high,vhigh,3,4,big,high,normal
high,vhigh,3,more,small,low,normal
high,vhigh,3,more,small,med,normal
high,vhigh,3,more,small,high,normal
high,vhigh,3,more,med,low,normal
high,vhigh,3,more,med,med,normal
high,vhigh,3,more,med,high,normal
high,vhigh,3,more,big,low,normal
high,vhigh,3,more,big,med,normal
high,vhigh,3,more,big,high,normal
high,vhigh,4,2,small,low,normal
high,vhigh,4,2,small,med,normal
high,vhigh,4,2,small,high,normal
high,vhigh,4,2,med,low,normal
high,vhigh,4,2,med,med,normal
high,vhigh,4,2,med,high,normal
high,vhigh,4,2,big,low,normal
high,vhigh,4,2,big,med,normal
high,vhigh,4,2,big,high,normal
high,vhigh,4,4,small,low,normal
high,vhigh,4,4,small,med,normal
high,vhigh,4,4,small,high,normal
high,vhigh,4,4,med,low,normal
high,vhigh,4,4,med,med,normal
high,vhigh,4,4,med,high,normal
high,vhigh,4,4,big,low,normal
high,vhigh,4,4,big,med,normal
high,vhigh,4,4,big,high,normal
high,vhigh,4,more,small,low,normal
high,vhigh,4,more,small,med,normal
high,vhigh,4,more,small,high,normal
high,vhigh,4,more,med,low,normal
high,vhigh,4,more,med,med,normal
high,vhigh,4,more,med,high,normal
high,vhigh,4,more,big,low,normal
high,vhigh,4,more,big,med,normal
high,vhigh,4,more,big,high,normal
high,vhigh,5more,2,small,low,normal
high,vhigh,5more,2,small,med,normal
high,vhigh,5more,2,small,high,normal
high,vhigh,5more,2,med,low,normal
high,vhigh,5more,2,med,med,normal
high,vhigh,5more,2,med,high,normal
high,vhigh,5more,2,big,low,normal
high,vhigh,5more,2,big,med,normal
high,vhigh,5more,2,big,high,normal
high,vhigh,5more,4,small,low,normal
high,vhigh,5more,4,small,med,normal
high,vhigh,5more,4,small,high,normal
high,vhigh,5more,4,med,low,normal
high,vhigh,5more,4,med,med,normal
high,vhigh,5more,4,med,high,normal
high,vhigh,5more,4,big,low,normal
high,vhigh,5more,4,big,med,normal
high,vhigh,5more,4,big,high,normal
high,vhigh,5more,more,small,low,normal
high,vhigh,5more,more,small,med,normal
high,vhigh,5more,more,small,high,normal
high,vhigh,5more,more,med,low,normal
high,vhigh,5more,more,med,med,normal
high,vhigh,5more,more,med,high,normal
high,vhigh,5more,more,big,low,normal
high,vhigh,5more,more,big,med,normal
high,vhigh,5more,more,big,high,normal
high,high,2,2,small,low,normal
high,high,2,2,small,med,normal
high,high,2,2,small,high,normal
high,high,2,2,med,low,normal
high,high,2,2,med,med,normal
high,high,2,2,med,high,normal
high,high,2,2,big,low,normal
high,high,2,2,big,med,normal
high,high,2,2,big,high,normal
high,high,2,4,small,low,normal
high,high,2,4,small,med,normal
high,high,2,4,small,high,normal
high,high,2,4,med,low,normal
high,high,2,4,med,med,normal
high,high,2,4,med,high,normal
high,high,2,4,big,low,normal
high,high,2,4,big,med,normal
high,high,2,4,big,high,normal
high,high,2,more,small,low,normal
high,high,2,more,small,med,normal
high,high,2,more,small,high,normal
high,high,2,more,med,low,normal
high,high,2,more,med,med,normal
high,high,2,more,med,high,normal
high,high,2,more,big,low,normal
high,high,2,more,big,med,normal
high,high,2,more,big,high,normal
high,high,3,2,small,low,normal
high,high,3,2,small,med,normal
high,high,3,2,small,high,normal
high,high,3,2,med,low,normal
high,high,3,2,med,med,normal
high,high,3,2,med,high,normal
high,high,3,2,big,low,normal
high,high,3,2,big,med,normal
high,high,3,2,big,high,normal
high,high,3,4,small,low,normal
high,high,3,4,small,med,normal
high,high,3,4,small,high,normal
high,high,3,4,med,low,normal
high,high,3,4,med,med,normal
high,high,3,4,med,high,normal
high,high,3,4,big,low,normal
high,high,3,4,big,med,normal
high,high,3,4,big,high,normal
high,high,3,more,small,low,normal
high,high,3,more,small,med,normal
high,high,3,more,small,high,normal
high,high,3,more,med,low,normal
high,high,3,more,med,med,normal
high,high,3,more,med,high,normal
high,high,3,more,big,low,normal
high,high,3,more,big,med,normal
high,high,3,more,big,high,normal
high,high,4,2,small,low,normal
high,high,4,2,small,med,normal
high,high,4,2,small,high,normal
high,high,4,2,med,low,normal
high,high,4,2,med,med,normal
high,high,4,2,med,high,normal
high,high,4,2,big,low,normal
high,high,4,2,big,med,normal
high,high,4,2,big,high,normal
high,high,4,4,small,low,normal
high,high,4,4,small,med,normal
high,high,4,4,small,high,normal
high,high,4,4,med,low,normal
high,high,4,4,med,med,normal
high,high,4,4,med,high,normal
high,high,4,4,big,low,normal
high,high,4,4,big,med,normal
high,high,4,4,big,high,normal
high,high,4,more,small,low,normal
high,high,4,more,small,med,normal
high,high,4,more,small,high,normal
high,high,4,more,med,low,normal
high,high,4,more,med,med,normal
high,high,4,more,med,high,normal
high,high,4,more,big,low,normal
high,high,4,more,big,med,normal
high,high,4,more,big,high,normal
high,high,5more,2,small,low,normal
high,high,5more,2,small,med,normal
high,high,5more,2,small,high,normal
high,high,5more,2,med,low,normal
high,high,5more,2,med,med,normal
high,high,5more,2,med,high,normal
high,high,5more,2,big,low,normal
high,high,5more,2,big,med,normal
high,high,5more,2,big,high,normal
high,high,5more,4,small,low,normal
high,high,5more,4,small,med,normal
high,high,5more,4,small,high,normal
high,high,5more,4,med,low,normal
high,high,5more,4,med,med,normal
high,high,5more,4,med,high,normal
high,high,5more,4,big,low,normal
high,high,5more,4,big,med,normal
high,high,5more,4,big,high,normal
high,high,5more,more,small,low,normal
high,high,5more,more,small,med,normal
high,high,5more,more,small,high,normal
high,high,5more,more,med,low,normal
high,high,5more,more,med,med,normal
high,high,5more,more,med,high,normal
high,high,5more,more,big,low,normal
high,high,5more,more,big,med,normal
high,high,5more,more,big,high,normal
high,med,2,2,small,low,normal
high,med,2,2,small,med,normal
high,med,2,2,small,high,normal
high,med,2,2,med,low,normal
high,med,2,2,med,med,normal
high,med,2,2,med,high,normal
high,med,2,2,big,low,normal
high,med,2,2,big,med,normal
high,med,2,2,big,high,normal
high,med,2,4,small,low,normal
high,med,2,4,small,med,normal
high,med,2,4,small,high,normal
high,med,2,4,med,low,normal
high,med,2,4,med,med,normal
high,med,2,4,med,high,normal
high,med,2,4,big,low,normal
high,med,2,4,big,med,normal
high,med,2,4,big,high,normal
high,med,2,more,small,low,normal
high,med,2,more,small,med,normal
high,med,2,more,small,high,normal
high,med,2,more,med,low,normal
high,med,2,more,med,med,normal
high,med,2,more,med,high,normal
high,med,2,more,big,low,normal
high,med,2,more,big,med,normal
high,med,2,more,big,high,normal
high,med,3,2,small,low,normal
high,med,3,2,small,med,normal
high,med,3,2,small,high,normal
high,med,3,2,med,low,normal
high,med,3,2,med,med,normal
high,med,3,2,med,high,normal
high,med,3,2,big,low,normal
high,med,3,2,big,med,normal
high,med,3,2,big,high,normal
high,med,3,4,small,low,normal
high,med,3,4,small,med,normal
high,med,3,4,small,high,normal
high,med,3,4,med,low,normal
high,med,3,4,med,med,normal
high,med,3,4,med,high,normal
high,med,3,4,big,low,normal
high,med,3,4,big,med,normal
high,med,3,4,big,high,normal
high,med,3,more,small,low,normal
high,med,3,more,small,med,normal
high,med,3,more,small,high,normal
high,med,3,more,med,low,normal
high,med,3,more,med,med,normal
high,med,3,more,med,high,normal
high,med,3,more,big,low,normal
high,med,3,more,big,med,normal
high,med,3,more,big,high,normal
high,med,4,2,small,low,normal
high,med,4,2,small,med,normal
high,med,4,2,small,high,normal
high,med,4,2,med,low,normal
high,med,4,2,med,med,normal
high,med,4,2,med,high,normal
high,med,4,2,big,low,normal
high,med,4,2,big,med,normal
high,med,4,2,big,high,normal
high,med,4,4,small,low,normal
high,med,4,4,small,med,normal
high,med,4,4,small,high,normal
high,med,4,4,med,low,normal
high,med,4,4,med,med,normal
high,med,4,4,med,high,normal
high,med,4,4,big,low,normal
high,med,4,4,big,med,normal
high,med,4,4,big,high,normal
high,med,4,more,small,low,normal
high,med,4,more,small,med,normal
high,med,4,more,small,high,normal
high,med,4,more,med,low,normal
high,med,4,more,med,med,normal
high,med,4,more,med,high,normal
high,med,4,more,big,low,normal
high,med,4,more,big,med,normal
high,med,4,more,big,high,normal
high,med,5more,2,small,low,normal
high,med,5more,2,small,med,normal
high,med,5more,2,small,high,normal
high,med,5more,2,med,low,normal
high,med,5more,2,med,med,normal
high,med,5more,2,med,high,normal
high,med,5more,2,big,low,normal
high,med,5more,2,big,med,normal
high,med,5more,2,big,high,normal
high,med,5more,4,small,low,normal
high,med,5more,4,small,med,normal
high,med,5more,4,small,high,normal
high,med,5more,4,med,low,normal
high,med,5more,4,med,med,normal
high,med,5more,4,med,high,normal
high,med,5more,4,big,low,normal
high,med,5more,4,big,med,normal
high,med,5more,4,big,high,normal
high,med,5more,more,small,low,normal
high,med,5more,more,small,med,normal
high,med,5more,more,small,high,normal
high,med,5more,more,med,low,normal
high,med,5more,more,med,med,normal
high,med,5more,more,med,high,normal
high,med,5more,more,big,low,normal
high,med,5more,more,big,med,normal
high,med,5more,more,big,high,normal
high,low,2,2,small,low,normal
high,low,2,2,small,med,normal
high,low,2,2,small,high,normal
high,low,2,2,med,low,normal
high,low,2,2,med,med,normal
high,low,2,2,med,high,normal
high,low,2,2,big,low,normal
high,low,2,2,big,med,normal
high,low,2,2,big,high,normal
high,low,2,4,small,low,normal
high,low,2,4,small,med,normal
high,low,2,4,small,high,normal
high,low,2,4,med,low,normal
high,low,2,4,med,med,normal
high,low,2,4,med,high,normal
high,low,2,4,big,low,normal
high,low,2,4,big,med,normal
high,low,2,4,big,high,normal
high,low,2,more,small,low,normal
high,low,2,more,small,med,normal
high,low,2,more,small,high,normal
high,low,2,more,med,low,normal
high,low,2,more,med,med,normal
high,low,2,more,med,high,normal
high,low,2,more,big,low,normal
high,low,2,more,big,med,normal
high,low,2,more,big,high,normal
high,low,3,2,small,low,normal
high,low,3,2,small,med,normal
high,low,3,2,small,high,normal
high,low,3,2,med,low,normal
high,low,3,2,med,med,normal
