age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56, Private,99359, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,1617,40, United-States, <=50K
38, Private,242559, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
20, Private,286391, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,2176,0,20, United-States, <=50K
82, Private,132870, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,4356,18, United-States, <=50K
32, Private,239150, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private,170563, Assoc-voc,11, Separated, Prof-specialty, Unmarried, White, Female,0,0,32, United-States, <=50K
30, Private,72887, HS-grad,9, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,3411,0,40, United-States, <=50K
49, Local-gov,163229, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,56, United-States, <=50K
40, Local-gov,165726, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private,70055, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
35, Private,184655, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private,139906, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,81, United-States, <=50K
32, Local-gov,198211, Assoc-voc,11, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,146540, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
53, Local-gov,132304, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,190916, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Never-worked,237272, 10th,6, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
42, State-gov,304302, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
34, Private,184942, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
27, Private,267989, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,188377, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
26, Private,340787, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
57, Private,169071, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,28, United-States, <=50K
36, Self-emp-not-inc,151094, Assoc-voc,11, Separated, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, <=50K
27, Private,122922, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private,151141, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
30, Private,136651, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
31, Local-gov,128016, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private,200318, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private,250354, 10th,6, Never-married, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
31, Private,27856, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,8, United-States, <=50K
39, Federal-gov,257175, Bachelors,13, Divorced, Tech-support, Unmarried, Black, Female,0,625,40, United-States, <=50K
45, Private,200471, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, United-States, <=50K
20, Private,353195, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
35, Private,222868, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
50, Private,221791, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, <=50K
56, Private,197114, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States, <=50K
48, Private,160220, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
58, Self-emp-not-inc,274917, Masters,14, Widowed, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
32, Private,348460, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
23, Private,112683, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
48, Private,345831, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private,105370, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,0,70, United-States, <=50K
48, Private,345006, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Mexico, <=50K
55, Private,195329, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,2202,0,35, Italy, <=50K
40, Local-gov,108765, Assoc-voc,11, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private,138022, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc,175029, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
19, Private,189574, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Private,105043, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private,345705, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1408,38, United-States, <=50K
33, Private,248584, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
50, Private,398625, 11th,7, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private,114043, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private,169544, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private,343849, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private,291578, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
46, Private,136162, Assoc-voc,11, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Self-emp-inc,302612, Masters,14, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
65, Local-gov,240166, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
29, Private,193152, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,1408,40, United-States, <=50K
42, Private,248094, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1740,43, United-States, <=50K
21, Private,82847, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, Private,654141, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,32, United-States, <=50K
30, Private,252646, Some-college,10, Separated, Transport-moving, Not-in-family, White, Male,0,0,20, United-States, <=50K
54, Private,171924, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,48, United-States, <=50K
19, Private,219742, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
55, State-gov,153788, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,37, United-States, <=50K
20, Private,60639, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,28, United-States, <=50K
53, Private,96062, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
33, Private,159888, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
62, Private,110586, Some-college,10, Widowed, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc,143062, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
17, Self-emp-inc,413557, 9th,5, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private,137658, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
36, Private,398931, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,311764, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
72, Private,97304, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,2346,0,40, ?, <=50K
26, Federal-gov,352768, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, ?,27184, HS-grad,9, Widowed, ?, Unmarried, White, Female,0,0,38, United-States, <=50K
72, ?,237229, Assoc-voc,11, Widowed, ?, Not-in-family, White, Female,0,0,30, United-States, <=50K
27, Private,210313, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Guatemala, <=50K
28, Private,211032, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,184737, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,1721,40, United-States, <=50K
28, Private,214689, Bachelors,13, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,25, United-States, <=50K
70, ?,147558, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,7, United-States, <=50K
26, Private,247025, Assoc-voc,11, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private,284403, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, <=50K
25, Federal-gov,339956, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, <=50K
60, Private,223696, 1st-4th,2, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,38, Dominican-Republic, <=50K
31, Private,234500, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
51, Local-gov,97005, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
18, Private,242615, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private,174938, Bachelors,13, Divorced, Tech-support, Unmarried, White, Male,0,0,20, United-States, <=50K
78, Self-emp-not-inc,59583, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States, <=50K
72, Private,157913, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,17, United-States, <=50K
24, Private,308205, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
58, ?,158506, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,16, United-States, <=50K
48, Private,330470, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, United-States, <=50K
28, Private,184078, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private,123384, Masters,14, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private,330132, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
47, Private,274720, 5th-6th,3, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Jamaica, <=50K
35, Federal-gov,205584, 5th-6th,3, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
17, Private,327127, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private,224886, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, <=50K
35, Local-gov,27763, HS-grad,9, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Private,73684, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
23, Private,107452, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,23871, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,0,0,32, United-States, <=50K
28, Private,469864, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
55, Private,286230, 11th,7, Divorced, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
59, State-gov,186308, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
22, Private,113062, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private,86150, 11th,7, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,19, Philippines, <=50K
41, Private,262038, 5th-6th,3, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,0,0,35, Mexico, <=50K
32, Private,279231, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Italy, <=50K
67, ?,188903, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,2414,0,40, United-States, <=50K
45, Private,183786, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
61, Private,339358, 5th-6th,3, Married-civ-spouse, Farming-fishing, Other-relative, White, Female,0,0,45, Mexico, <=50K
34, Private,287737, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc,99203, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,113481, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
65, Private,204042, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,0,20, United-States, <=50K
37, Private,99233, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc,313729, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
18, Private,169745, 7th-8th,4, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
43, Federal-gov,19914, Some-college,10, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
19, Private,224241, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
40, Self-emp-inc,137367, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, China, <=50K
32, Private,263908, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
32, Local-gov,203849, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc,62546, Doctorate,16, Separated, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
36, Private,93225, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
33, Private,187560, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,36, United-States, <=50K
23, State-gov,61743, 5th-6th,3, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
21, Private,186648, 10th,6, Separated, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,173321, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,32, United-States, <=50K
20, ?,424034, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,15, United-States, <=50K
53, Self-emp-not-inc,291755, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, United-States, <=50K
58, Private,104945, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,60, United-States, <=50K
31, Private,214235, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,65, United-States, <=50K
35, Self-emp-not-inc,278632, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, ?,27415, 11th,7, Never-married, ?, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
31, Local-gov,143392, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
21, Private,277408, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
18, Private,395026, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
32, Private,171215, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
56, Private,121362, Bachelors,13, Divorced, Other-service, Not-in-family, White, Female,0,0,32, United-States, <=50K
35, Private,409200, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Private,268965, 12th,8, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private,141323, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,82210, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private,308489, Bachelors,13, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
38, Private,75826, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
23, Private,413345, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
22, Private,356567, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
20, Private,223811, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private,159313, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private,135617, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private,187346, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private,108103, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
27, Private,255476, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,0,0,40, Mexico, <=50K
24, Private,68577, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,155961, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,35, Jamaica, <=50K
22, State-gov,264102, Some-college,10, Never-married, Other-service, Other-relative, Black, Male,0,0,39, Haiti, <=50K
37, Private,167777, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,52, United-States, <=50K
28, Private,199998, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
55, Private,199856, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, <=50K
29, ?,189765, 5th-6th,3, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, <=50K
32, Private,193042, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K
66, ?,222810, Some-college,10, Divorced, ?, Other-relative, White, Female,0,0,35, United-States, <=50K
47, Local-gov,162595, Some-college,10, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
23, Private,208826, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Local-gov,120190, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
40, Self-emp-not-inc,27242, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,84, United-States, <=50K
51, Private,348099, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1590,40, United-States, <=50K
34, Private,185041, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Female,0,1669,45, United-States, <=50K
28, Private,309196, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,178843, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
42, Private,136177, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
35, Private,243409, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Germany, <=50K
34, Private,164748, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private,167476, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
52, Private,53497, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,335704, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
30, Private,163003, Bachelors,13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,52, Taiwan, <=50K
39, Private,67433, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,458549, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,96, Mexico, <=50K
26, Private,190469, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,195411, HS-grad,9, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
20, Private,216889, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
70, ?,336007, 5th-6th,3, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K
26, Private,167350, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private,241857, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
62, Private,272209, HS-grad,9, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,99, United-States, <=50K
48, Private,175221, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,38090, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,44, United-States, <=50K
58, Private,310085, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
40, Federal-gov,118686, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
29, ?,112963, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, <=50K
