Dataset,Top_K%,ADFNR_P,ADFNR_R,DASOD_P,DASOD_R,GCN_P,GCN_R,GCN-LOF_P,GCN-LOF_R,NIEOD_P,NIEOD_R,NMIGOD_P,NMIGOD_R
iris,20,0.8333,1,0.8333,1,0.6667,1,0.6667,1,0.8333,1,0.6667,1
iris,30,0.5556,1,0.5556,1,0.4444,1,0.4444,1,0.5556,1,0.4444,1
iris,50,0.3333,1,0.3333,1,0.2667,1,0.2667,1,0.3333,1,0.2667,1
iris,Average,0.8175,0.5857,0.5079,0.5357,0.7206,0.5982,0.5302,0.5804,0.7698,0.5643,0.7564,0.6161
parkinsons,1,0,0,0,0,1,0.0263,1,0.0263,0,0,0,0
parkinsons,3,0,0,0,0,0.8,0.1053,0.8,0.1053,0,0,0,0
parkinsons,5,0,0,0,0,0.8889,0.2105,0.8889,0.2105,0,0,0,0
parkinsons,10,0.1176,0.0417,0,0,0.7647,0.3421,0.8235,0.3684,0,0,0.4706,0.2105
parkinsons,20,0.3846,0.3125,0.0256,0.0208,0.5897,0.6053,0.6154,0.6316,0.1026,0.0833,0.5128,0.5263
parkinsons,30,0.3793,0.4583,0.0345,0.0417,0.5517,0.8421,0.5172,0.7895,0.2414,0.2917,0.4655,0.7105
parkinsons,50,0.2887,0.5833,0.1753,0.3542,0.3711,0.9474,0.3918,1,0.268,0.5417,0.3608,0.9211
parkinsons,Average,0.1672,0.1994,0.0336,0.0595,0.7094,0.4399,0.7195,0.4474,0.0874,0.131,0.2585,0.3383
raisin,1,0.5,0.05,0.5,0.05,0.75,0.0938,0.75,0.0938,0.5,0.05,0.5,0.0625
raisin,3,0.7857,0.275,0.8571,0.3,0.7857,0.3438,0.7143,0.3125,0.8571,0.3,0.7143,0.3125
raisin,5,0.625,0.375,0.8333,0.5,0.7083,0.5312,0.7083,0.5312,0.7917,0.475,0.7083,0.5312
raisin,10,0.4091,0.45,0.5455,0.6,0.5,0.6875,0.4545,0.625,0.5455,0.6,0.5227,0.7188
raisin,20,0.2959,0.725,0.2755,0.675,0.2551,0.7812,0.2857,0.875,0.3163,0.775,0.2857,0.875
raisin,30,0.2245,0.825,0.1973,0.725,0.1837,0.8438,0.1973,0.9062,0.2177,0.8,0.1905,0.875
raisin,50,0.151,0.925,0.1429,0.875,0.1184,0.9062,0.1184,0.9062,0.1469,0.9,0.1224,0.9375
raisin,Average,0.4273,0.5179,0.4788,0.5321,0.4716,0.5982,0.4612,0.6071,0.4822,0.5571,0.4348,0.6161
wine,1,0,0,0,0,1,0.0417,1,0.0417,0,0,1,0.0417
wine,3,0.5,0.0667,0.5,0.0667,0.75,0.125,1,0.1667,0.5,0.0667,1,0.1667
wine,5,0.625,0.1667,0.5,0.1333,0.875,0.2917,1,0.3333,0.75,0.2,0.625,0.2083
wine,10,0.5,0.2333,0.3571,0.1667,0.7857,0.4583,0.7857,0.4583,0.6429,0.3,0.7143,0.4167
wine,20,0.5938,0.6333,0.4375,0.4667,0.75,1,0.75,1,0.6562,0.7,0.75,1
wine,30,0.5208,0.8333,0.5,0.8,0.5,1,0.5,1,0.6042,0.9667,0.5,1
wine,50,0.375,1,0.375,1,0.3,1,0.3,1,0.375,1,0.3,1
wine,Average,0.4449,0.419,0.3814,0.3762,0.7087,0.5595,0.7622,0.5714,0.504,0.4619,0.6985,0.5476
wine-red,1,0.0667,0.0123,0.0667,0.0123,0.0667,0.0154,0.0667,0.0154,0.0667,0.0123,0.3333,0.0769
wine-red,3,0.0638,0.037,0.0426,0.0247,0.0213,0.0154,0.0851,0.0615,0.0851,0.0494,0.2128,0.1538
wine-red,5,0.1013,0.0988,0.0506,0.0494,0.0253,0.0308,0.0633,0.0769,0.0633,0.0617,0.1519,0.1846
wine-red,10,0.0839,0.1481,0.0979,0.1728,0.0559,0.1231,0.042,0.0923,0.1049,0.1852,0.1259,0.2769
wine-red,20,0.0846,0.3333,0.0784,0.3086,0.0596,0.2923,0.0658,0.3231,0.0815,0.321,0.0878,0.4308
wine-red,30,0.0856,0.5062,0.0689,0.4074,0.0522,0.3846,0.0626,0.4615,0.0731,0.4321,0.0731,0.5385
wine-red,50,0.0663,0.6543,0.0626,0.6173,0.0501,0.6154,0.0538,0.6615,0.0676,0.6667,0.0601,0.7385
wine-red,Average,0.0789,0.2557,0.0668,0.2275,0.0473,0.211,0.0628,0.2417,0.0775,0.2469,0.1493,0.3429
wine-white,1,0.1875,0.0248,0.1667,0.022,0.1875,0.031,0.2083,0.0345,0.1458,0.0193,0.3542,0.0586
wine-white,3,0.2192,0.0882,0.137,0.0551,0.2055,0.1034,0.2123,0.1069,0.1986,0.0799,0.2808,0.1414
wine-white,5,0.1926,0.1295,0.1148,0.0771,0.2131,0.1793,0.1762,0.1483,0.2008,0.135,0.2336,0.1966
wine-white,10,0.1727,0.2094,0.1205,0.146,0.1591,0.2414,0.1591,0.2414,0.1795,0.2176,0.1682,0.2552
wine-white,20,0.1338,0.3609,0.1124,0.303,0.1246,0.4207,0.1297,0.4379,0.1318,0.3554,0.1195,0.4034
wine-white,30,0.1253,0.5069,0.1062,0.4298,0.1035,0.5241,0.1082,0.5483,0.1212,0.4904,0.1042,0.5276
wine-white,50,0.1037,0.6997,0.0919,0.6198,0.0792,0.669,0.0886,0.7483,0.0976,0.6584,0.0808,0.6828
wine-white,Average,0.1621,0.2885,0.1214,0.2361,0.1532,0.3098,0.1546,0.3237,0.1536,0.2794,0.1916,0.3237
