Dataset,Top_K%,ADFNR_P,ADFNR_R,DASOD_P,DASOD_R,GCN_P,GCN_R,GCN-LOF_P,GCN-LOF_R,NIEOD_P,NIEOD_R,NMIGOD_P,NMIGOD_R
cmc,Average,0.6534,0.2171,0.6714,0.2214,0.5957,0.2474,0.5691,0.2545,0.6904,0.2246,0.6129,0.2511
credit,1,0.25,0.0078,0.25,0.0078,0.75,0.0294,0.75,0.0294,0,0,1,0.0392
credit,3,0.3846,0.0391,0.3077,0.0312,0.8462,0.1078,0.9231,0.1176,0.2308,0.0234,0.8462,0.1078
credit,5,0.5238,0.0859,0.3333,0.0547,0.7619,0.1569,0.8571,0.1765,0.2381,0.0391,0.6667,0.1373
credit,10,0.4615,0.1406,0.359,0.1094,0.7179,0.2745,0.7436,0.2843,0.3077,0.0938,0.5641,0.2157
credit,20,0.5057,0.3438,0.3908,0.2656,0.6782,0.5784,0.6667,0.5686,0.3793,0.2578,0.5977,0.5098
credit,30,0.4538,0.4609,0.3769,0.3828,0.5769,0.7353,0.6231,0.7941,0.3769,0.3828,0.6077,0.7745
credit,50,0.4009,0.6797,0.3548,0.6016,0.424,0.902,0.4562,0.9706,0.3318,0.5625,0.4608,0.9804
credit,Average,0.4258,0.2511,0.3389,0.2076,0.6793,0.3978,0.7171,0.4202,0.2664,0.1942,0.6776,0.395
diabetes,1,0,0,0,0,0,0,0.6667,0.05,0,0,0.3333,0.025
diabetes,3,0,0,0,0,0.5455,0.15,0.8182,0.225,0,0,0.5455,0.15
diabetes,5,0.0556,0.02,0,0,0.6667,0.3,0.7222,0.325,0,0,0.6111,0.275
diabetes,10,0.0606,0.04,0.1212,0.08,0.697,0.575,0.697,0.575,0.1212,0.08,0.697,0.575
diabetes,20,0.1486,0.22,0.1892,0.28,0.527,0.975,0.527,0.975,0.1622,0.24,0.4865,0.9
diabetes,30,0.2523,0.56,0.1982,0.44,0.3604,1,0.3514,0.975,0.2072,0.46,0.3514,0.975
diabetes,50,0.2703,1,0.2649,0.98,0.2162,1,0.2162,1,0.2595,0.96,0.2162,1
diabetes,Average,0.1125,0.2629,0.1105,0.2543,0.4304,0.5714,0.5712,0.5893,0.1072,0.2486,0.463,0.5571
german,1,0.125,0.01,0.125,0.01,0.375,0.0375,0,0,0.25,0.02,0.125,0.0125
german,3,0.2083,0.05,0.25,0.06,0.25,0.075,0.2917,0.0875,0.1667,0.04,0.125,0.0375
german,5,0.175,0.07,0.2,0.08,0.2,0.1,0.25,0.125,0.175,0.07,0.15,0.075
german,10,0.1806,0.13,0.2222,0.16,0.2083,0.1875,0.25,0.225,0.2222,0.16,0.1806,0.1625
german,20,0.1812,0.29,0.1812,0.29,0.1688,0.3375,0.2188,0.4375,0.1875,0.3,0.175,0.35
german,30,0.1625,0.39,0.1708,0.41,0.1708,0.5125,0.2,0.6,0.1792,0.43,0.1625,0.4875
german,50,0.1475,0.59,0.1575,0.63,0.1375,0.6875,0.15,0.75,0.1525,0.61,0.1525,0.7625
german,Average,0.1686,0.2186,0.1867,0.2343,0.2158,0.2768,0.1944,0.3179,0.1904,0.2329,0.1529,0.2696
heart,1,1,0.0216,1,0.0216,1,0.027,0.3333,0.009,1,0.0216,1,0.027
heart,3,0.8889,0.0576,0.8889,0.0576,0.8889,0.0721,0.5556,0.045,1,0.0647,1,0.0811
heart,5,0.8,0.0863,0.8,0.0863,0.8,0.1081,0.6667,0.0901,0.8667,0.0935,0.7333,0.0991
heart,10,0.8148,0.1583,0.7037,0.1367,0.8148,0.1982,0.7407,0.1802,0.7778,0.1511,0.8519,0.2072
heart,20,0.65,0.2806,0.7,0.3022,0.7333,0.3964,0.7333,0.3964,0.6833,0.295,0.75,0.4054
heart,30,0.6,0.3885,0.6222,0.4029,0.6333,0.5135,0.7111,0.5766,0.6333,0.4101,0.7,0.5676
heart,50,0.5894,0.6403,0.5894,0.6403,0.5364,0.7297,0.596,0.8108,0.5695,0.6187,0.6026,0.8198
heart,Average,0.7633,0.2333,0.7577,0.2354,0.7724,0.2921,0.6195,0.3012,0.7901,0.2364,0.8054,0.3153
student-mat,1,0.3333,0.0345,0.3333,0.0345,0,0,0,0,0.3333,0.0345,0,0
student-mat,3,0.1818,0.069,0.1818,0.069,0.0909,0.0435,0,0,0.2727,0.1034,0.0909,0.0435
student-mat,5,0.1053,0.069,0.2105,0.1379,0.0526,0.0435,0.0526,0.0435,0.1579,0.1034,0.1579,0.1304
student-mat,10,0.1143,0.1379,0.1143,0.1379,0.0571,0.087,0.1143,0.1739,0.1429,0.1724,0.1143,0.1739
student-mat,20,0.1266,0.3448,0.1139,0.3103,0.0506,0.1739,0.0886,0.3043,0.1266,0.3448,0.0886,0.3043
student-mat,30,0.0932,0.3793,0.1186,0.4828,0.0678,0.3478,0.0763,0.3913,0.1186,0.4828,0.0763,0.3913
student-mat,50,0.1066,0.7241,0.1168,0.7931,0.0508,0.4348,0.0508,0.4348,0.1117,0.7586,0.066,0.5652
student-mat,Average,0.1516,0.2512,0.1699,0.2808,0.0528,0.1615,0.0547,0.1925,0.1805,0.2857,0.0849,0.2298
yeast,1,0.4545,1,0.0909,0.2,0.3636,1,0.3636,1,0.3636,0.8,0.3636,1
yeast,3,0.1471,1,0.0588,0.4,0.1176,1,0.1176,1,0.1471,1,0.1176,1
yeast,5,0.0877,1,0.0351,0.4,0.0702,1,0.0702,1,0.0877,1,0.0702,1
yeast,10,0.049,1,0.0196,0.4,0.0392,1,0.0392,1,0.049,1,0.0392,1
yeast,20,0.0219,1,0.0175,0.8,0.0175,1,0.0175,1,0.0219,1,0.0175,1
yeast,30,0.0146,1,0.0117,0.8,0.0117,1,0.0117,1,0.0146,1,0.0117,1
yeast,50,0.0088,1,0.0088,1,0.007,1,0.007,1,0.0088,1,0.007,1
yeast,Average,0.1119,1,0.0346,0.5714,0.0895,1,0.0895,1,0.099,0.9714,0.0895,1
